policy_entropy,nupdates,fps,approxkl,clipfrac,explained_variance,value_loss,time_elapsed,eprewmean,serial_timesteps,total_timesteps,policy_loss,eplenmean
0.9212263,106,371,0.010531248,0.1359375,0.7387519180774689,0.0012292725,607.9996786117554,0.0,217088,217088,0.000112170565,1501.0
0.9521788,107,357,0.011736699,0.15297851,0.19869619607925415,0.0010628547,613.7229008674622,0.0,219136,219136,-0.001579814,1501.0
0.9483632,108,355,0.022579629,0.24223633,0.21510398387908936,0.0009261222,619.4901828765869,0.0,221184,221184,-0.00921962,1501.0
1.0760238,109,375,0.00962263,0.12504883,0.7086502611637115,0.00019045873,624.9455330371857,0.0,223232,223232,-0.0006382394,1501.0
1.1259139,110,355,0.018821046,0.18271485,0.47227442264556885,0.0013669787,630.712705373764,0.0,225280,225280,-0.01519982,1501.0
1.0529988,111,364,0.011402343,0.14785156,0.04746711254119873,0.5746473,636.337057352066,0.21,227328,227328,0.0017616227,1500.67
1.1214612,112,369,0.0150556415,0.19067383,0.5641828179359436,0.00096458837,641.880793094635,0.21,229376,229376,-0.0059272912,1500.67
1.2104093,113,345,0.015737627,0.21293946,0.7308128774166107,0.00060417096,647.806622505188,0.21,231424,231424,-0.001476611,1500.67
1.1097692,114,372,0.010732835,0.14897461,0.05460327863693237,2.02139,653.2999863624573,0.67,233472,233472,0.0028397357,1500.67
1.0293043,115,345,0.012303295,0.15810546,0.061103999614715576,3.2327607,659.2357270717621,1.57,235520,235520,0.0023487627,1499.16
0.98810005,116,373,0.012555763,0.16699219,0.1914377212524414,0.38097537,664.7226181030273,1.74,237568,237568,0.00022059023,1493.66
1.2262243,117,341,0.01989794,0.25600585,0.8746533393859863,0.0017018858,670.723335981369,1.74,239616,239616,-0.001582793,1492.45
1.2217493,118,360,0.012650983,0.17148438,0.7456381320953369,0.00066270086,676.4089224338531,1.74,241664,241664,-0.004394532,1492.45
1.2259961,119,355,0.014831824,0.18510742,0.8892219588160515,0.00085710676,682.1668384075165,1.74,243712,243712,0.0006481845,1492.45
1.1828282,120,354,0.013847927,0.16796875,0.5852832198143005,0.0013650175,687.9389007091522,1.74,245760,245760,-0.00310841,1492.45
1.1226208,121,352,0.0117213,0.1607422,0.19328004121780396,0.21714225,693.7535903453827,1.86,247808,247808,-0.0011804143,1487.3
1.2191329,122,355,0.014468381,0.18642578,0.7418086528778076,0.0015879378,699.5224974155426,1.86,249856,249856,0.0028717953,1487.3
1.2581466,123,370,0.011780957,0.17202148,0.6276543438434601,0.0008955036,705.0584108829498,1.86,251904,251904,0.0012999335,1487.3
1.0976717,124,349,0.012097522,0.1607422,0.19927024841308594,0.18492766,710.9252161979675,1.97,253952,253952,0.002325489,1482.64
1.0447723,125,337,0.015562242,0.19072266,0.21952611207962036,0.6006286,716.992326259613,2.33,256000,256000,-0.0050662817,1462.52
1.0767033,126,344,0.012527533,0.16787109,0.7251509130001068,0.0031548098,722.9290726184845,2.33,258048,258048,0.0013480412,1450.53
0.97114736,127,351,0.01759452,0.14951172,0.8090997636318207,0.0034511525,728.7536449432373,2.33,260096,260096,0.0019168785,1442.4
0.95000154,128,355,0.0124961985,0.14428711,0.5421515703201294,0.016817193,734.5147454738617,2.36,262144,262144,0.00212642,1433.15
1.1136456,129,347,0.014596979,0.1972168,0.8011323511600494,0.0009933261,740.416960477829,2.36,264192,264192,-0.007128549,1416.23
1.1298422,130,350,0.014091586,0.2019043,0.6720263361930847,0.00035161801,746.2636137008667,2.36,266240,266240,-0.0019120614,1416.23
1.0257528,131,347,0.011083883,0.14726563,0.15648525953292847,0.18355687,752.1654372215271,2.47,268288,268288,0.0005633777,1405.57
0.8733017,132,327,0.0049330043,0.06064453,0.2881034016609192,0.17844181,758.4221477508545,2.63,270336,270336,0.00045327126,1377.31
0.9594637,133,330,0.01910832,0.23286133,0.7895506620407104,0.003810056,764.620325088501,2.63,272384,272384,-0.0014270317,1353.66
0.9534699,134,334,0.0116315335,0.14638671,0.2954970598220825,0.19438572,770.7452390193939,2.77,274432,274432,0.0012562927,1330.62
0.9200476,135,331,0.02492318,0.20332031,0.31394654512405396,0.3202036,776.9303557872772,2.98,276480,276480,-0.0045324955,1306.16
0.9726243,136,327,0.008961069,0.11396484,0.40064263343811035,0.14807203,783.1923415660858,3.08,278528,278528,-0.0006504414,1280.27
1.0132693,137,350,0.018531622,0.21782227,0.8816196545958519,0.00081399345,789.0424375534058,3.08,280576,280576,-0.00017967515,1270.39
