eplenmean,policy_entropy,total_timesteps,eprewmean,value_loss,clipfrac,nupdates,serial_timesteps,approxkl,fps,explained_variance,policy_loss,time_elapsed
984.0,0.64829427,84000,485.767515,6.0699077,0.0052,56,84000,0.0008828033,339,0.9877811456099153,-0.00041979933,256.66802048683167
1363.0,0.9689975,85500,867.872278,27.253809,0.03366666,57,85500,0.003577562,307,0.9597208239138126,-0.0042381654,261.5420711040497
659.0,0.4341676,87000,287.312353,7.089888,0.028266659,58,87000,0.0024480226,353,0.9874774776399136,-0.005353634,265.7907130718231
1103.0,0.9937452,88500,514.913016,1.4713919,0.024933329,59,88500,0.003560208,352,0.9974451276939362,-0.0020491309,270.0418610572815
647.0,0.47794303,90000,372.90309,29.908945,0.04073332,60,90000,0.0028675739,327,0.9554476886987686,-0.0071812477,274.62695717811584
669.0,0.8004628,91500,264.748248,3.2487783,0.011999997,61,91500,0.0021519503,327,0.9945325260050595,-0.0018820341,279.2032492160797
1198.0,0.73703694,93000,745.527179,14.4693775,0.013733333,62,93000,0.0018170574,352,0.978882659226656,-0.0012602058,283.4538915157318
699.0,0.42433944,94500,276.772609,15.751422,0.010400001,63,94500,0.0010744587,320,0.9753087218850851,-0.001837519,288.1381685733795
810.0,0.4392238,96000,329.162641,2.7645316,0.013599997,64,96000,0.0012805691,319,0.9949118383228779,-0.0033521033,292.8346920013428
877.0,0.48772365,97500,393.294508,17.359556,0.008199997,65,97500,0.000997293,323,0.972752233967185,-0.0018578535,297.47442650794983
1059.0,0.5835125,99000,464.676808,8.339114,0.012466668,66,99000,0.0022256009,328,0.9877086216583848,-0.0016259897,302.04186964035034
592.0,0.3291612,100500,311.807194,27.755772,0.0068666656,67,100500,0.0007755052,322,0.9513575881719589,-0.000847784,306.6882245540619
584.0,0.5681925,102000,190.701318,14.324494,0.038799986,68,102000,0.002642943,317,0.9766882825642824,-0.0029342487,311.4132921695709
695.0,0.50395525,103500,257.579022,16.485296,0.033599988,69,103500,0.0028494813,320,0.9703123308718204,-0.0041063647,316.09090852737427
835.0,0.41470137,105000,320.36488,16.313396,0.02466666,70,105000,0.0020015677,324,0.9738494418561459,-0.0035526329,320.71895837783813
874.0,0.4614009,106500,195.000438,37.71617,0.030333323,71,106500,0.0019991326,315,0.933856189250946,-0.006578876,325.46718406677246
824.0,0.49257347,108000,323.365136,34.681004,0.019866668,72,108000,0.0014012163,326,0.9365145862102509,-0.0028063483,330.06167435646057
972.0,0.7140045,109500,390.681032,3.1137056,0.006866666,73,109500,0.0013615608,348,0.9940998028032482,-0.0011632416,334.3607814311981
625.0,0.41619697,111000,289.815354,19.075275,0.003466666,74,111000,0.00045448847,328,0.9659580886363983,-0.0025910654,338.92872881889343
1027.0,0.65807563,112500,509.713917,21.508512,0.056533307,75,112500,0.0042281807,310,0.9655599221587181,-0.005828104,343.76248955726624
625.0,0.30420724,114000,207.489426,20.536612,0.0023999992,76,114000,0.00056501175,304,0.9556804895401001,-0.0003156968,348.6904833316803
627.0,0.49389973,115500,351.897225,15.994236,0.0041333325,77,115500,0.0006393921,304,0.9749551061540842,-0.0012142654,353.6119441986084
1068.0,0.6030488,117000,509.272853,1.8034793,0.012466665,78,117000,0.001963911,316,0.9969730491284281,-0.0016839526,358.3507227897644
1116.0,0.6736442,118500,673.725463,29.35573,0.0014000002,79,118500,0.00039351155,317,0.9515062309801579,-0.0005185996,363.07138085365295
1500.0,0.9399941,120000,795.412886,23.807686,0.08033332,80,120000,0.005434992,339,0.9633204936981201,-0.0041033207,367.4942891597748
651.0,0.39219493,121500,181.045498,7.0560265,0.007266665,81,121500,0.00072322844,308,0.986295741982758,-0.0011202785,372.34967827796936
966.0,0.4913833,123000,442.358907,21.552637,0.025400002,82,123000,0.0024414782,321,0.963467963039875,-0.0028868692,377.01451444625854
919.0,0.48448578,124500,467.354485,4.0857706,0.006799998,83,124500,0.0018378367,344,0.9939787872135639,-0.001679324,381.3689260482788
752.0,0.47839385,126000,341.364154,9.760678,0.0002,84,126000,0.00033737026,324,0.9868695046752691,-0.00038893922,385.98802185058594
612.0,0.46606284,127500,83.259456,38.250343,0.033733327,85,127500,0.0019794353,326,0.9159417599439621,-0.0033766965,390.57556438446045
1103.0,0.5690551,129000,542.035577,31.699688,0.008266665,86,129000,0.0015854123,330,0.9525242298841476,-0.0018615621,395.1170394420624
1058.0,0.56095576,130500,506.518704,23.386513,0.0106666675,87,130500,0.001436613,318,0.9569788165390491,-0.0015625746,399.82845163345337
814.0,0.46716827,132000,424.979424,14.129225,0.010400001,88,132000,0.001459823,351,0.9778710622340441,-0.0015291235,404.0981752872467
771.0,0.37031102,133500,377.621586,28.570913,0.023866665,89,133500,0.0018289733,324,0.9534199610352516,-0.002208539,408.71479988098145
793.0,0.29610598,135000,296.726732,21.331865,0.0006666667,90,135000,0.0002470787,304,0.9600483551621437,-0.00050980743,413.6421935558319
614.0,0.2816763,136500,51.340408,28.22971,0.04346665,91,136500,0.0028301356,322,0.9464809820055962,-0.003437485,418.28855061531067
863.0,0.34784928,138000,323.497497,17.24798,0.012533331,92,138000,0.0013172127,308,0.9674925431609154,-0.0017868956,423.1450810432434
799.0,0.27231294,139500,269.815834,21.739355,0.0009333334,93,139500,0.0003085969,321,0.9548488631844521,-0.00035604025,427.80940103530884
804.0,0.48750195,141000,206.797344,9.567101,0.048399992,94,141000,0.0033675632,324,0.9831299427896738,-0.0050052046,432.43007373809814
637.0,0.19878924,142500,163.796165,29.168407,0.0,95,142500,2.459043e-05,330,0.8888128623366356,2.7734617e-05,436.96571373939514
739.0,0.32807145,144000,325.325423,22.06475,0.03286665,96,144000,0.002183986,327,0.9490407109260559,-0.00325488,441.55156230926514
563.0,0.33594358,145500,57.636823,40.042213,0.021266662,97,145500,0.0017079632,293,0.9136616885662079,-0.0043248287,446.66447710990906
606.0,0.22108853,147000,39.448874,32.123257,0.0038666662,98,147000,0.00044464794,320,0.8701934367418289,-0.0018176009,451.35210251808167
937.0,0.5143157,148500,444.386077,23.431252,0.0018666664,99,148500,0.0007215893,325,0.9626747593283653,-0.0004818016,455.9537582397461
811.0,0.3191073,150000,319.910502,17.292974,0.008533333,100,150000,0.00067748106,331,0.9624525159597397,-0.0010119338,460.47463822364807
766.0,0.5056536,151500,345.769814,7.4994674,0.00040000002,101,151500,0.00047401057,323,0.9866072041913867,-0.0004901453,465.1147303581238
582.0,0.2952144,153000,90.606934,13.278672,0.0064666653,102,153000,0.0008796583,324,0.963291596621275,-0.0011895729,469.7408323287964
813.0,0.2965574,154500,361.767644,26.138271,0.018466659,103,154500,0.001480872,329,0.9409915804862976,-0.0042764433,474.288702249527
790.0,0.28919876,156000,244.722349,4.8134704,0.0031333328,104,156000,0.00025210212,319,0.9888461157679558,-0.00065947406,478.98170614242554
587.0,0.32657433,157500,30.758248,19.524439,0.0045999996,105,157500,0.00077646703,305,0.9584996737539768,-0.00072214036,483.89438486099243
743.0,0.3651058,159000,264.792327,3.304125,0.0004,106,159000,0.0004274454,303,0.9937032405287027,-0.00046502435,488.83747267723083
662.0,0.25134718,160500,30.002024,28.40707,0.0,107,160500,0.00010933034,295,0.9164695888757706,-0.0007341992,493.92287707328796
787.0,0.39914647,162000,170.966427,49.196007,0.020199992,108,162000,0.0025104648,305,0.8970245495438576,-0.0047258753,498.8351628780365
632.0,0.3783807,163500,78.465906,16.610899,0.010866667,109,163500,0.0010705751,318,0.9606668204069138,-0.0014281085,503.5506422519684
582.0,0.25974816,165000,236.533837,11.912936,0.008666665,110,165000,0.0006987553,313,0.9634903892874718,-0.0014265893,508.3334631919861
591.0,0.36014938,166500,58.219088,13.899574,0.01333333,111,166500,0.0013784978,313,0.9662391021847725,-0.0014749292,513.1240780353546
833.0,0.55043566,168000,411.076181,27.787842,0.0052,112,168000,0.0006458482,323,0.9622601494193077,-0.00084672606,517.7679851055145
687.0,0.46188173,169500,144.590313,28.710405,0.007066667,113,169500,0.0006994954,310,0.9442455396056175,-0.00040380136,522.5977897644043
647.0,0.38144135,171000,82.969826,15.492444,0.031733323,114,171000,0.0020558906,315,0.9649538584053516,-0.0025270141,527.3476815223694
1007.0,0.5655504,172500,470.884541,35.719566,0.0061333333,115,172500,0.00088455697,316,0.9386582858860493,-0.002197294,532.0802431106567
604.0,0.31882256,174000,229.030754,13.164462,0.0060666665,116,174000,0.00065534463,320,0.9588463455438614,-0.0011437694,536.7607545852661
615.0,0.37605286,175500,191.810543,15.52502,0.00053333334,117,175500,0.00034703783,324,0.9483815804123878,-0.00072149234,541.3819060325623
930.0,0.5203215,177000,372.912431,2.1137679,0.023866659,118,177000,0.0021807698,314,0.9955497812479734,-0.003489833,546.1442654132843
760.0,0.55959594,178500,277.786266,38.452404,0.004066667,119,178500,0.0008219362,319,0.9125324711203575,-0.0017083294,550.8388516902924
717.0,0.4407787,180000,233.040467,7.3411865,0.034533326,120,180000,0.0025282116,318,0.9803322516381741,-0.003442761,555.5509717464447
732.0,0.43111348,181500,272.497947,8.401985,0.01393333,121,181500,0.0012523851,313,0.983633678406477,-0.0016979417,560.3415396213531
962.0,0.83592135,183000,448.918777,27.807795,0.04933331,122,183000,0.0043822424,306,0.9619122073054314,-0.0038652413,565.2294082641602
893.0,0.44497392,184500,311.997665,18.289093,0.015466663,123,184500,0.001451852,347,0.9635286331176758,-0.0013415143,569.5413575172424
722.0,0.71919554,186000,203.654249,15.182826,0.020933324,124,186000,0.0020898508,309,0.9766999240964651,-0.0028059355,574.3897507190704
