serial_timesteps,policy_loss,nupdates,explained_variance,policy_entropy,time_elapsed,value_loss,clipfrac,fps,eplenmean,total_timesteps,approxkl,eprewmean
45568,-0.0009141037,89,0.8377248495817184,1.4798949,569.9968695640564,8.162026e-05,0.0,787,1500.0,364544,0.00028691086,2.3333333333333335
46080,-0.00038992878,90,0.590681254863739,1.5243819,578.2917129993439,0.003984884,0.0,493,1500.0,368640,0.00023733507,2.3333333333333335
46592,-0.00025251295,91,0.11088442802429199,1.5553707,588.2719287872314,0.19219542,0.0,410,1500.0,372736,0.00010894974,2.3588709677419355
47104,-0.0008724476,92,0.8466113209724426,1.5074308,593.6652359962463,2.8260527e-05,0.0,759,1500.0,376832,0.00024912856,2.3588709677419355
47616,-0.0004888326,93,0.9284890294075012,1.5343289,599.1910102367401,0.00014930351,0.0,741,1500.0,380928,0.00033684465,2.3588709677419355
48128,-0.0013325457,94,0.9073810577392578,1.5322238,606.159912109375,0.000177163,0.0,587,1500.0,385024,0.000868324,2.28515625
48640,-0.0007390205,95,0.8443600088357925,1.5016015,611.4145455360413,2.259374e-05,0.0,779,1500.0,389120,0.0003145094,2.28515625
49152,-0.0011818965,96,0.8272701501846313,1.5220082,617.264132976532,0.00016148308,0.0,700,1500.0,393216,0.00029725037,2.28515625
49664,-0.0015783528,97,0.8905629888176918,1.5276346,624.2498145103455,3.2327116e-05,0.0,586,1500.0,397312,0.00031865318,2.215909090909091
50176,-0.00018318897,98,0.8931480124592781,1.4883963,629.7856495380402,3.3041677e-05,0.0,739,1500.0,401408,2.2698518e-05,2.215909090909091
50688,-0.000952306,99,0.8398212641477585,1.5180113,634.8931694030762,0.00010356802,0.0,802,1500.0,405504,0.00035056678,2.215909090909091
51200,-0.00041650218,100,0.8629205524921417,1.515517,641.6829831600189,2.1007609e-05,0.0,603,1500.0,409600,0.000300092,2.150735294117647
51712,-0.001525761,101,0.9096235707402229,1.4780629,647.0654566287994,5.521854e-05,0.0,761,1500.0,413696,0.00048798983,2.150735294117647
52224,-0.00037192568,102,0.05343663692474365,1.5121305,652.4979972839355,0.3290235,0.0,754,1500.0,417792,0.00021802401,2.150735294117647
52736,-0.0003149756,103,0.6232391893863678,1.5116866,659.0911943912506,0.00042396024,0.0,621,1500.0,421888,7.395247e-05,2.2
53248,-0.00028284895,104,0.8549189120531082,1.4939655,664.5119004249573,3.823028e-05,0.0,755,1500.0,425984,8.254069e-05,2.2
53760,-0.00038529822,105,0.7705962359905243,1.513839,670.1393842697144,0.00023077319,0.0,727,1500.0,430080,0.00015860377,2.2
54272,-0.00031565485,106,0.7674124538898468,1.505138,677.2000722885132,3.782934e-05,0.0,580,1500.0,434176,8.129836e-05,2.138888888888889
54784,-0.00036418063,107,0.946868035942316,1.498551,682.5062849521637,0.0001012648,0.0,772,1500.0,438272,0.00010569421,2.138888888888889
55296,-0.00031153075,108,0.02316129207611084,1.5310779,692.3636190891266,7.9079185,0.0,415,1500.0,442368,0.00015144206,2.138888888888889
55808,-0.0012705914,109,0.7397496402263641,1.5136216,700.7499754428864,0.00024751303,0.0,488,1500.0,446464,0.0003441057,3.4087837837837838
56320,-0.002209602,110,0.5859758853912354,1.5195801,706.2297742366791,4.1809184e-05,0.0,747,1500.0,450560,0.0011553445,3.4087837837837838
56832,-0.0024595151,111,0.6289150714874268,1.5410782,711.5185837745667,0.00021154861,0.0,774,1500.0,454656,0.0025918882,3.4087837837837838
57344,-0.0014216141,112,0.6176469326019287,1.5257397,718.5346260070801,0.00014359356,0.0,583,1500.0,458752,0.0005649169,3.35
57856,-0.0015547237,113,0.4188559055328369,1.5371348,724.1459078788757,4.7142537e-05,0.0,730,1500.0,462848,0.00062606105,3.35
58368,-0.0036504716,114,0.9031143262982368,1.5377553,729.4542407989502,0.00016274051,0.0013183594,771,1500.0,466944,0.0026972122,3.35
58880,-0.000238244,115,0.5392677485942841,1.5368078,736.6569411754608,0.00041781677,0.0,568,1500.0,471040,4.1724503e-05,3.2133333333333334
59392,-0.00068604865,116,0.6859025061130524,1.5494933,743.1516311168671,5.1696064e-05,0.0,630,1500.0,475136,0.0002445867,3.2133333333333334
59904,-0.00078710227,117,0.0036104917526245117,1.5474663,751.1379244327545,6.659789,0.0,512,1497.84,479232,0.00017979731,3.0766666666666667
60416,-0.00020066956,118,0.6060192286968231,1.5441334,758.4226286411285,0.0007427425,0.0,562,1497.4166666666667,483328,2.5917276e-05,3.8466666666666667
60928,-0.0018303503,119,0.9020078852772713,1.5448328,763.8155524730682,2.1447571e-05,0.0,759,1497.4166666666667,487424,0.0006797563,3.8466666666666667
61440,-0.00066209247,120,0.819544181227684,1.5402597,771.0825555324554,0.0003277716,0.0,563,1497.4166666666667,491520,0.0004554906,3.8466666666666667
61952,-0.0009269773,121,0.35840004682540894,1.5345696,777.6062190532684,0.00013819421,0.0,627,1497.4166666666667,495616,6.813997e-05,3.8466666666666667
62464,-0.0013229774,122,0.9358462616801262,1.5314075,783.3367567062378,5.6475757e-05,0.0,714,1497.4166666666667,499712,0.00056475354,3.8466666666666667
62976,-0.00070773176,123,0.007087886333465576,1.5250801,791.7739362716675,20.458279,0.0,485,1497.4166666666667,503808,0.00029207385,4.366666666666666
63488,-0.0002271466,124,0.07802480459213257,1.5328786,800.0596446990967,0.6544764,0.0,494,1497.4166666666667,507904,4.945342e-05,6.46
64000,-0.00088045234,125,0.18083685636520386,1.5307248,809.9917871952057,0.032838043,0.0,412,1497.4166666666667,512000,0.0005416346,6.46
64512,-0.00011159547,126,0.04537224769592285,1.5215032,819.6923980712891,28.890396,0.0,422,1497.4166666666667,516096,2.747357e-05,10.246666666666666
65024,-0.0009150562,127,0.9286596924066544,1.5285422,825.4272112846375,1.3564504e-05,0.0,714,1497.4166666666667,520192,0.00038930267,10.246666666666666
65536,-0.0021305385,128,0.9718781728297472,1.5291132,830.929609298706,0.00013581358,0.0025390624,744,1497.4166666666667,524288,0.001142328,10.246666666666666
66048,-0.0012815848,129,0.7448240220546722,1.5352447,839.0089173316956,0.002513812,0.0,507,1497.4166666666667,528384,0.00040202233,10.246666666666666
66560,-0.0011423096,130,0.9248628243803978,1.5347898,844.7598102092743,1.39574095e-05,0.0,712,1497.4166666666667,532480,0.00048251793,10.246666666666666
67072,-0.00014937465,131,0.9295480996370316,1.5400267,850.3484020233154,0.0001483073,0.0,732,1497.4166666666667,536576,5.5536268e-05,10.246666666666666
67584,-0.00069911557,132,0.8484513908624649,1.5386454,858.6157279014587,0.000634807,0.0,495,1497.4166666666667,540672,0.00012318845,10.246666666666666
68096,-0.0004889875,133,0.889334574341774,1.5365028,864.0002717971802,7.802514e-06,0.0,760,1497.4166666666667,544768,7.48168e-05,10.246666666666666
68608,-0.0020378514,134,0.9199822768568993,1.542311,869.7040848731995,0.0001490103,0.0,718,1497.4166666666667,548864,0.0011713267,10.246666666666666
69120,-0.00060866226,135,0.8325488567352295,1.5480901,878.209831237793,0.0005232628,0.0,481,1497.4166666666667,552960,0.00020085547,10.246666666666666
69632,-0.0019421091,136,0.7432772517204285,1.5407916,883.3711638450623,0.00016145447,0.0,793,1497.4166666666667,557056,0.00058955495,10.246666666666666
70144,-0.0004910588,137,0.7499822378158569,1.5274198,889.2753469944,0.001035779,0.0,693,1497.4166666666667,561152,0.00024091193,10.246666666666666
70656,-0.0005568595,138,0.05505359172821045,1.527266,897.6353259086609,1.7458937,0.0,489,1497.4166666666667,565248,0.0002424393,10.55
71168,-0.00042778012,139,0.7567204535007477,1.5319192,903.4751529693604,1.3768363e-05,0.0,701,1497.4166666666667,569344,0.0001713296,10.55
71680,-0.0007942895,140,0.9432930387556553,1.5301417,908.9025576114655,5.9967562e-05,0.0,754,1497.4166666666667,573440,0.00027223336,10.55
72192,-0.0011043961,141,0.7320766746997833,1.5291013,917.6543753147125,0.00032313724,0.0,468,1497.4166666666667,577536,0.0003814128,10.55
72704,-0.00017196867,142,0.8318365961313248,1.53824,922.9131252765656,1.4601251e-05,0.0,778,1497.4166666666667,581632,6.2152285e-05,10.55
73216,-0.0015532761,143,0.8331592231988907,1.5387872,936.6409637928009,7.650644e-05,0.0,298,1494.1733333333334,585728,0.00045436877,10.55
73728,-0.0006494688,144,0.7536745816469193,1.5338194,943.871294260025,4.6009874e-05,0.0,566,1489.93,589824,0.00010504286,10.55
74240,-0.00053846557,145,0.8273709118366241,1.5314944,949.7119717597961,0.00012979734,0.0,701,1489.93,593920,9.5656105e-05,10.55
74752,-0.00088701845,146,0.7650105953216553,1.519166,957.7475256919861,0.00027097162,0.0,509,1489.93,598016,0.00050745596,10.55
75264,-0.0010309283,147,0.6677004396915436,1.5084168,963.1318051815033,1.2361836e-05,0.0,760,1489.93,602112,0.00033482906,10.55
75776,-0.0017251412,148,0.7851659804582596,1.4962212,968.718466758728,3.12451e-05,0.0,733,1489.93,606208,0.000712166,10.55
76288,-0.0019170021,149,0.6799838840961456,1.4847496,976.402952671051,0.00012056743,0.0001953125,533,1489.93,610304,0.0011702401,10.55
76800,-0.00027693083,150,0.018658995628356934,1.4850914,982.7211534976959,2.1967497,0.0,648,1489.93,614400,5.4497883e-05,10.55
77312,-0.000912646,151,0.03005915880203247,1.4885193,990.860454082489,9.047758,0.0,503,1486.9766666666667,618496,0.0003388709,11.413333333333334
77824,-0.0016942701,152,0.8347048759460449,1.4839207,999.0810647010803,0.0006406862,0.0,498,1483.6766666666667,622592,0.00070877094,12.15
78336,-0.00046069914,153,0.9021281078457832,1.4809611,1004.584954738617,0.00028375423,0.0,744,1483.6766666666667,626688,0.00019360957,12.15
78848,-0.001965048,154,0.9041675552725792,1.4809629,1012.1025018692017,0.00020722098,0.0037353516,544,1483.6766666666667,630784,0.0015366392,12.15
79360,-0.0007407673,155,0.951607957482338,1.4763658,1019.8155286312103,0.00016248444,0.0,531,1483.6766666666667,634880,0.00019605532,12.15
