fps,eplenmean,value_loss,nupdates,time_elapsed,clipfrac,policy_entropy,policy_loss,total_timesteps,explained_variance,serial_timesteps,eprewmean,approxkl
505,410.22,0.36134624,1458,7291.013466596603,0.004931641,0.5996382,-0.00011464362,2985984,0.8410783559083939,373248,8.64265591,0.0010067798
491,411.45666666666665,0.14258441,1459,7295.1793529987335,0.036328126,0.2606985,-0.0005114219,2988032,0.8954394683241844,373504,8.624886876666666,0.0043883296
359,414.7633333333333,0.17769018,1460,7300.879688739777,0.0171875,0.33505487,0.00013364157,2990080,0.887273333966732,373760,8.527091539999999,0.0012797802
432,414.69666666666666,0.44305468,1461,7305.616324424744,0.029199218,0.3435016,-0.00067302247,2992128,0.8040067702531815,374016,8.564285666666668,0.0024593326
349,413.4266666666667,8.258607,1462,7311.470612287521,0.084033206,0.5002933,7.9825186e-05,2994176,0.39722347259521484,374272,8.935197176666668,0.010608759
501,412.8,0.025586605,1463,7315.551979064941,0.11376953,0.84401023,0.00033461076,2996224,0.9721289575099945,374528,8.923315829999998,0.007751024
411,414.49,0.08289074,1464,7320.5265102386475,0.006640625,0.38494885,-0.00030315793,2998272,0.9650970883667469,374784,8.954575623333334,0.0009244561
424,419.24,0.39860326,1465,7325.34623169899,0.004833984,0.5706895,-7.990385e-05,3000320,0.8167011141777039,375040,8.925820819999998,0.000553759
347,418.19,0.33745274,1466,7331.2461585998535,0.0021484375,0.5123331,-6.073274e-05,3002368,0.9025654196739197,375296,8.98975867,0.00038163827
514,416.73,0.291734,1467,7335.230812549591,0.015136719,0.48133558,-0.00019517778,3004416,0.8031775951385498,375552,8.900416953333334,0.0010257583
403,415.3566666666667,0.20767066,1468,7340.304403305054,0.009570313,0.6636444,-0.000605369,3006464,0.93130923807621,375808,9.006430716666667,0.001837603
516,416.15,0.046161167,1469,7344.26984167099,0.091748044,0.6113594,0.0007916909,3008512,0.9785271007567644,376064,9.013852176666665,0.007167883
408,419.07666666666665,0.872795,1470,7349.28537774086,0.0063476562,0.7486742,0.00025105046,3010560,0.7834763377904892,376320,8.996333453333333,0.0010816364
619,420.98333333333335,1.8816398,1471,7352.594031572342,0.14790039,0.9969765,-0.00043437147,3012608,0.6019379496574402,376576,9.06013051,0.016078273
670,421.22333333333336,0.0017492238,1472,7355.649261474609,0.20151368,0.9681904,-0.0051918444,3014656,0.9972390630282462,376832,9.061808686666668,0.012382423
648,422.5466666666667,0.20660773,1473,7358.808591604233,0.09609375,0.77371293,-0.0014738266,3016704,0.7104357779026031,377088,9.011423623333334,0.01121396
453,427.7,0.3161365,1474,7363.325306415558,0.00234375,0.4602014,-2.453805e-05,3018752,0.8718457818031311,377344,9.035491913333333,0.0002720718
434,431.19666666666666,0.028480943,1475,7368.037248849869,0.13676758,0.72249055,-0.0028858574,3020800,0.9884341293945909,377600,9.069443530000001,0.011748048
491,435.65,0.7844526,1476,7372.204212665558,0.00029296876,0.57289994,1.5273545e-05,3022848,0.8360980600118637,377856,9.117244056666669,0.00019344484
411,441.3233333333333,0.32033706,1477,7377.18092250824,0.03286133,0.4963618,-0.00047877402,3024896,0.7923156917095184,378112,8.827863343333334,0.0052138274
419,441.96666666666664,12.817047,1478,7382.058913946152,0.0008789062,0.47975525,1.2641094e-05,3026944,0.30277204513549805,378368,9.060278249999998,0.00014557547
446,443.89666666666665,0.534743,1479,7386.647307634354,0.0035644532,0.36195233,7.930955e-05,3028992,0.8095119446516037,378624,9.089074283333332,0.00041750242
427,444.6166666666667,0.08364222,1480,7391.435483932495,0.017041016,0.37199858,-0.00013431208,3031040,0.973220806568861,378880,9.040331316666666,0.0023820207
338,446.12333333333333,0.68266904,1481,7397.490099906921,0.010009766,0.4990138,-0.0002473155,3033088,0.6294377744197845,379136,8.91024059,0.0014721906
465,445.97333333333336,2.060931,1482,7401.8910546302795,0.0017089844,0.16756715,-6.432626e-05,3035136,0.5889884829521179,379392,8.970639896666668,0.00041217456
308,446.82,0.386517,1483,7408.523413181305,0.020996094,0.33325696,4.5242843e-05,3037184,0.8948973715305328,379648,8.85340805,0.0023013512
350,447.28,18.560183,1484,7414.360534906387,0.057128906,0.34237888,-0.00053352595,3039232,0.27916091680526733,379904,9.240345226666667,0.0065018097
378,445.37,1.5520633,1485,7419.76588177681,0.00092773436,0.48091093,2.6626654e-05,3041280,0.6575334072113037,380160,9.295532676666669,0.00016882631
484,445.0133333333333,0.04064267,1486,7423.991468191147,0.06611328,0.5984942,-0.000660648,3043328,0.9833018127828836,380416,9.304440266666667,0.009390994
386,444.02666666666664,0.36249334,1487,7429.296621322632,0.0015136718,0.54785,6.088889e-05,3045376,0.8182887136936188,380672,9.098386116666667,0.00059222284
576,443.9533333333333,0.21679361,1488,7432.849532842636,0.024560547,0.5273159,-0.00069315184,3047424,0.7932845205068588,380928,9.045746153333333,0.0044136504
408,445.99333333333334,0.23070817,1489,7437.867628574371,0.036474608,0.7142771,-0.000592272,3049472,0.8731545060873032,381184,9.013450820000001,0.0051772045
425,450.04333333333335,0.11761832,1490,7442.681662797928,0.02475586,0.55315447,-0.0004978068,3051520,0.9415929056704044,381440,9.021551883333332,0.0023579574
474,452.43666666666667,0.12878297,1491,7446.994113922119,0.027001953,0.45366043,-0.0006993371,3053568,0.9333539232611656,381696,8.98844882,0.0027931004
462,454.49333333333334,0.11704923,1492,7451.419493198395,0.027685547,0.5395604,-0.0005539953,3055616,0.949090301990509,381952,9.013427343333333,0.0047266064
581,456.1933333333333,1.2372918,1493,7454.940188884735,0.008496094,0.5219396,0.00011897362,3057664,0.6191938817501068,382208,9.072794646666667,0.00095037324
319,459.88666666666666,0.37451977,1494,7461.356435775757,0.0052734376,0.42739734,-0.00012960384,3059712,0.8301672041416168,382464,8.96023265,0.0006123882
426,462.01,0.40212387,1495,7466.1640729904175,0.0014648438,0.54786074,-0.00036545383,3061760,0.8479025810956955,382720,8.934989846666667,0.00031757716
443,462.68333333333334,0.12598847,1496,7470.7824013233185,0.13740234,0.65316725,-0.00026944844,3063808,0.9522521011531353,382976,8.962554806666667,0.01769912
485,464.9633333333333,0.01100974,1497,7475.001610040665,0.059277344,0.70413464,-0.0027006813,3065856,0.9950812137685716,383232,8.933044703333335,0.008810267
489,465.87,0.25769764,1498,7479.184199094772,0.17177734,0.56744736,-0.0010868867,3067904,0.8273467719554901,383488,8.912662853333332,0.020120772
456,468.55333333333334,0.05302044,1499,7483.6685359478,0.009863282,0.5214001,-0.00044065405,3069952,0.9729762151837349,383744,8.95111354,0.001314577
399,471.19,0.3705367,1500,7488.79395365715,0.0025878907,0.4937671,-6.0118287e-05,3072000,0.888628251850605,384000,8.960530376666666,0.0006109405
501,472.4,1.397187,1501,7492.8836851119995,0.0,0.5859821,7.533208e-05,3074048,0.6819179952144623,384256,9.069954206666667,0.00011184266
416,475.6533333333333,0.44282618,1502,7497.797280788422,0.005566406,0.5676463,6.390002e-05,3076096,0.7597401142120361,384512,9.013972163333335,0.0008450304
430,477.51,0.43395466,1503,7502.556070804596,0.009521484,0.48532897,-0.00044725678,3078144,0.7996433079242706,384768,9.103995466666667,0.0012886744
498,478.07666666666665,0.009459418,1504,7506.663182735443,0.14399414,0.4800108,-0.0026036915,3080192,0.9961351747624576,385024,9.07725382,0.02121508
433,479.1433333333333,0.026818778,1505,7511.392553091049,0.039941408,0.41078848,-0.0013772532,3082240,0.9860821254551411,385280,9.040183676666667,0.0042285975
370,479.81333333333333,0.3215515,1506,7516.926076412201,0.003857422,0.32290798,5.1849125e-05,3084288,0.8880014643073082,385536,8.956847356666668,0.0003956675
409,478.29333333333335,1.4695714,1507,7521.933460712433,0.010449219,0.31268236,-1.9327243e-05,3086336,0.5928086638450623,385792,9.0898612,0.0009744357
470,478.2033333333333,0.04805381,1508,7526.290030956268,0.018017579,0.5060016,0.0003180125,3088384,0.9615611732006073,386048,9.110945196666666,0.0015902705
