fps,eprewmean,total_timesteps,serial_timesteps,policy_loss,approxkl,explained_variance,value_loss,clipfrac,eplenmean,policy_entropy,time_elapsed,nupdates
732,27.41176470588235,409600,51200,-0.0006199349,0.0031409492,0.25524741411209106,3.4482067,0.007775879,1500.0,1.5364909,523.8363602161407,25
831,26.62857142857143,425984,53248,-0.0033646852,0.0058907736,0.5605093538761139,0.0011115687,0.06203003,1500.0,1.5548885,543.5442156791687,26
791,27.64236111111111,442368,55296,-0.0012281353,0.0057172836,0.11813509464263916,1.4520918,0.027478028,1500.0,1.5731944,564.2569897174835,27
763,32.46,458752,57344,-0.0015823615,0.0052289204,0.09267926216125488,8.522364,0.028070068,1500.0,1.5693424,585.705198764801,28
776,36.163333333333334,475136,59392,-0.0015801778,0.004107734,0.16388404369354248,4.957919,0.015258789,1500.0,1.5462737,606.8115861415863,29
742,36.06333333333333,491520,61440,-0.0013269633,0.0050388994,0.1751459836959839,3.2626355,0.03380127,1500.0,1.5624044,628.8913178443909,30
723,39.21666666666667,507904,63488,-0.00063208473,0.006940894,0.24315696954727173,0.42261928,0.060412597,1500.0,1.5751026,651.525007724762,31
786,39.21666666666667,524288,65536,-0.0018485148,0.006905769,0.3280583620071411,0.2348639,0.04621582,1500.0,1.56065,672.3566715717316,32
759,45.31666666666667,540672,67584,-0.001208175,0.0049577905,0.19698429107666016,7.417015,0.016455078,1500.0,1.5457048,693.9285604953766,33
766,48.81333333333333,557056,69632,-0.0014710401,0.0047488892,0.2885590195655823,4.2960157,0.019696046,1500.0,1.5454768,715.294515132904,34
782,48.75333333333333,573440,71680,-0.0012741413,0.0048513813,0.31354475021362305,4.5544457,0.024609376,1500.0,1.5281289,736.2268567085266,35
674,56.0,589824,73728,-0.0006890662,0.005285971,0.2588978409767151,5.8328714,0.012353515,1483.07,1.5293447,760.5340032577515,36
724,55.99666666666667,606208,75776,-0.0025728073,0.005803305,0.4310370683670044,2.0923755,0.033374023,1483.07,1.5183007,783.1359114646912,37
586,56.92,622592,77824,-0.00089008297,0.006883717,0.41537725925445557,0.632949,0.07792969,1482.2033333333334,1.5502903,811.0695633888245,38
643,61.666666666666664,638976,79872,-0.0022535177,0.004572497,0.33580851554870605,11.4885,0.020220947,1472.2533333333333,1.519323,836.5280525684357,39
585,60.85333333333333,655360,81920,-0.0017681795,0.005888762,0.3758344054222107,0.003583504,0.047875978,1472.2533333333333,1.5471323,864.4977610111237,40
670,60.85333333333333,671744,83968,-0.0012710447,0.0046351757,-0.2058711051940918,0.0024260415,0.01685791,1472.2533333333333,1.5512784,888.9473011493683,41
637,64.66,688128,86016,-0.00053068745,0.0022693602,0.33047711849212646,5.8235326,0.014074707,1466.5133333333333,1.5362687,914.654666185379,42
726,72.84333333333333,704512,88064,-0.0021009748,0.005706809,0.28125572204589844,10.993519,0.045355223,1466.5133333333333,1.5680118,937.1964912414551,43
680,72.64333333333333,720896,90112,-0.00069301797,0.0045784144,-0.5557632446289062,0.00091798033,0.02758789,1466.5133333333333,1.5929846,961.2695353031158,44
644,70.54,737280,92160,-0.0010374513,0.003392243,0.4449393153190613,0.36631373,0.014483643,1466.5133333333333,1.5736597,986.6887054443359,45
679,76.51333333333334,753664,94208,-0.00069783337,0.0030956971,0.30225688219070435,17.336384,0.0087158205,1457.9766666666667,1.5599163,1010.7873547077179,46
653,73.23333333333333,770048,96256,-0.0024538455,0.0063919662,-1.1296422481536865,0.00059107103,0.06744995,1457.9766666666667,1.5834396,1035.8714995384216,47
730,70.66666666666667,786432,98304,-0.002024207,0.005801904,-0.16825532913208008,0.00018819238,0.040386964,1457.9766666666667,1.580755,1058.3022892475128,48
719,67.76333333333334,802816,100352,-0.0015310415,0.0050598197,-0.24033451080322266,0.00010115407,0.027374268,1457.9766666666667,1.5769559,1081.0788791179657,49
640,66.72666666666667,819200,102400,-0.0016251018,0.0037364424,0.055938780307769775,1.6342402,0.016156007,1457.9766666666667,1.5479754,1106.6683411598206,50
643,73.80666666666667,835584,104448,-0.0021795728,0.0067259977,0.18622565269470215,17.58363,0.052545168,1448.7033333333334,1.5388052,1132.1158456802368,51
641,82.53,851968,106496,-0.0017132176,0.0056323097,0.3294107913970947,23.515629,0.060144044,1433.1366666666668,1.5241761,1157.6644539833069,52
682,80.84666666666666,868352,108544,-0.0012160002,0.0064090686,0.34697866439819336,1.4752543,0.06882934,1433.1366666666668,1.568744,1181.6802229881287,53
607,78.75666666666666,884736,110592,-0.0012562501,0.003301479,0.40131139755249023,6.557554,0.02709961,1411.0533333333333,1.5326906,1208.654126882553,54
681,79.71,901120,112640,-0.00073863415,0.0016600114,0.3737652897834778,12.492319,0.001397705,1397.08,1.4330765,1232.7078115940094,55
544,93.71333333333334,917504,114688,-0.00082610326,0.0015263483,0.38665568828582764,30.172052,0.006982422,1355.8233333333333,1.4442974,1262.7988076210022,56
600,94.75666666666666,933888,116736,-0.0015243547,0.0037787505,0.47181493043899536,7.933516,0.013403321,1337.9433333333334,1.5006589,1290.0711152553558,57
618,95.77,950272,118784,-0.0013815991,0.0033639637,0.5110563039779663,9.38899,0.01552124,1305.84,1.5441631,1316.5727534294128,58
670,91.65666666666667,966656,120832,-0.0020627936,0.006618466,0.5313857197761536,2.923018,0.058416747,1304.2866666666666,1.5635263,1341.024416923523,59
649,102.78666666666666,983040,122880,-0.001873112,0.004030423,0.4651719927787781,23.770666,0.010717774,1312.5933333333332,1.5146854,1366.2593796253204,60
682,106.31666666666666,999424,124928,-0.001909644,0.0034078911,0.5337129533290863,9.981024,0.020404052,1312.52,1.5551983,1390.2808029651642,61
644,121.04,1015808,126976,-0.0013143143,0.0040285946,0.49115419387817383,29.869068,0.017279053,1306.0,1.5204482,1415.6848139762878,62
641,125.69,1032192,129024,-0.0015583613,0.005231374,0.5689782202243805,16.042927,0.048376463,1299.6233333333332,1.5356295,1441.2163174152374,63
676,125.69,1048576,131072,-0.0018975235,0.007802295,0.5394491255283356,0.0020032518,0.06544189,1299.6233333333332,1.5539455,1465.4278252124786,64
703,125.69,1064960,133120,-0.00072037854,0.0028926444,0.5852715373039246,7.3207946,0.022711182,1299.6233333333332,1.5392575,1488.7310864925385,65
590,145.03,1081344,135168,-0.0002547099,0.0023889767,0.5053916275501251,43.93705,0.0020996095,1300.5666666666666,1.5191842,1516.4724922180176,66
651,146.64,1097728,137216,-0.00144051,0.0018823082,0.6314593553543091,6.8371162,0.0050354004,1300.5666666666666,1.5366627,1541.637909412384,67
697,162.99333333333334,1114112,139264,-0.0014475283,0.0039513283,0.5290915071964264,36.805,0.01864624,1300.5666666666666,1.5232905,1565.1341066360474,68
692,172.88,1130496,141312,-0.00079329155,0.0069443695,0.5897397398948669,11.5457945,0.07154541,1301.45,1.5496633,1588.7808096408844,69
693,164.6,1146880,143360,-0.0007342817,0.0051306086,0.8392361551523209,0.28254825,0.040258788,1309.1033333333332,1.5488861,1612.4013731479645,70
634,183.92333333333335,1163264,145408,-0.0012623554,0.002703683,0.4970244765281677,44.14454,0.005053711,1309.1033333333332,1.5359658,1638.2130887508392,71
695,198.02333333333334,1179648,147456,-0.0013191376,0.004919999,0.6196500957012177,15.328677,0.046295166,1309.1033333333332,1.5667224,1661.7801785469055,72
667,198.02333333333334,1196032,149504,-0.0011156938,0.0060433354,0.3377341032028198,0.00041706613,0.06104126,1309.1033333333332,1.5682464,1686.3361263275146,73
641,198.02333333333334,1212416,151552,-0.0034837998,0.00550176,0.7714904546737671,0.0026443503,0.049108885,1309.1033333333332,1.5564234,1711.8794407844543,74
676,207.1,1228800,153600,-0.00088940246,0.003119962,0.4356653690338135,48.19819,0.008410645,1318.3766666666668,1.5181234,1736.1051406860352,75
658,229.12333333333333,1245184,155648,-0.0010304512,0.0032392747,0.4747557044029236,51.509773,0.008453369,1327.14,1.5235506,1760.9786093235016,76
679,239.80666666666667,1261568,157696,-0.00042916057,0.0021949955,0.5669104754924774,16.326502,0.0023071289,1333.9433333333334,1.5246007,1785.0890607833862,77
676,237.18666666666667,1277952,159744,-0.0026336403,0.0062096505,0.6794743239879608,0.0011194624,0.038494874,1342.6166666666666,1.5143687,1809.3205428123474,78
640,239.68333333333334,1294336,161792,-0.0009191906,0.003628698,0.3553828001022339,15.030337,0.028063964,1356.0266666666666,1.5254966,1834.894343137741,79
651,247.90666666666667,1310720,163840,-0.0008807228,0.0032413441,0.38341301679611206,19.172728,0.027844239,1370.4833333333333,1.5276681,1860.045893907547,80
685,256.9866666666667,1327104,165888,-0.00070062606,0.004748537,0.3347204923629761,45.686718,0.03239136,1383.0866666666666,1.5422473,1883.9372880458832,81
671,256.44666666666666,1343488,167936,-0.0017620579,0.004134609,0.44463050365448,17.07733,0.018371582,1413.4166666666667,1.5547881,1908.3472683429718,82
689,274.72333333333336,1359872,169984,-0.0012156146,0.003236832,0.3887218236923218,32.279663,0.018499756,1421.2833333333333,1.5599922,1932.1088783740997,83
696,274.86333333333334,1376256,172032,0.0006739723,0.004575941,0.4266960620880127,4.92789,0.030541992,1447.5766666666666,1.5622838,1955.6233704090118,84
664,270.6566666666667,1392640,174080,-0.001374209,0.007346875,0.45349442958831787,0.00027936473,0.075524904,1461.24,1.558322,1980.2946276664734,85
696,268.99333333333334,1409024,176128,-0.0032988705,0.010006489,0.5627306401729584,0.00025556528,0.08508911,1464.1833333333334,1.5531828,2003.8143830299377,86
710,257.47,1425408,178176,-0.0009225914,0.0021591843,0.5846397280693054,13.642133,0.0074279783,1471.2266666666667,1.5380874,2026.874326467514,87
686,271.73333333333335,1441792,180224,-0.0014813237,0.0038624727,0.5083400011062622,25.048449,0.020996094,1472.5366666666666,1.5406264,2050.735260486603,88
731,272.43333333333334,1458176,182272,-0.00074136734,0.0032078256,0.45527029037475586,21.785252,0.02015381,1478.4733333333334,1.5451146,2073.1189818382263,89
689,278.7266666666667,1474560,184320,-0.0010355054,0.0024917999,0.5383884012699127,27.63356,0.011187744,1491.6,1.5426301,2096.891642808914,90
676,277.48333333333335,1490944,186368,-0.0022033104,0.00787678,0.1632918119430542,0.0015816061,0.10404663,1495.2033333333334,1.5408728,2121.114937543869,91
