fps,policy_loss,explained_variance,clipfrac,time_elapsed,approxkl,total_timesteps,policy_entropy,serial_timesteps,value_loss,eplenmean,nupdates,eprewmean
717,-0.0012518804,0.7450985908508301,0.045562744,2398.688202381134,0.004563813,1851392,1.5007961,231424,4.4766765,1500.0,113,202.55333333333334
787,-0.0017129021,0.679108053445816,0.026873779,2419.493530511856,0.006818375,1867776,1.4138942,233472,47.103653,1500.0,114,221.19666666666666
728,-0.0007458725,0.6272287368774414,0.009405518,2441.9800589084625,0.002499232,1884160,1.4558394,235520,42.42827,1500.0,115,233.68333333333334
794,-0.0020197995,0.684211403131485,0.04473877,2462.6117820739746,0.0056142965,1900544,1.4402425,237568,41.857708,1500.0,116,257.4533333333333
784,-0.0019035477,0.5743914544582367,0.023510743,2483.49826669693,0.0051543126,1916928,1.4633118,239616,29.199726,1500.0,117,272.49
742,-0.000985289,0.7032678723335266,0.014379883,2505.579467535019,0.0031301174,1933312,1.4779781,241664,52.26121,1500.0,118,306.85
827,-0.0024468615,0.73237544298172,0.038989257,2525.3859333992004,0.0046488056,1949696,1.4658844,243712,29.104956,1500.0,119,319.81
781,-0.0025148597,-0.5995873212814331,0.0904602,2546.343496322632,0.007926973,1966080,1.5322794,245760,0.0012817037,1500.0,120,316.12666666666667
740,-0.0007326696,0.6899259984493256,0.021697998,2568.460814476013,0.003800576,1982464,1.4004904,247808,37.48928,1500.0,121,334.98333333333335
765,-0.004221849,0.0789792537689209,0.08424683,2589.8626227378845,0.0072997264,1998848,1.5244604,249856,0.00026799188,1500.0,122,333.4533333333333
774,-0.0021112182,0.7713295519351959,0.037060548,2611.024870157242,0.0062383474,2015232,1.441645,251904,23.384296,1500.0,123,333.4533333333333
702,-0.00060456886,0.7255810797214508,0.007788086,2634.348900794983,0.0030907898,2031616,1.4254707,253952,27.103008,1500.0,124,355.43
814,-0.0017521136,0.7392367720603943,0.011193847,2654.464854478836,0.0040654214,2048000,1.4172436,256000,31.507519,1500.0,125,359.23333333333335
727,-0.0013502873,0.7277713716030121,0.014788819,2676.9883835315704,0.0034434623,2064384,1.4170505,258048,55.229378,1500.0,126,388.7966666666667
776,-0.0018711707,0.7765883356332779,0.026239013,2698.1012818813324,0.0039475462,2080768,1.4012349,260096,27.806805,1500.0,127,398.91333333333336
796,-0.00086103316,0.716674417257309,0.0054016113,2718.6782994270325,0.0025642982,2097152,1.3780904,262144,24.874178,1500.0,128,400.6766666666667
732,-0.0019745578,0.7495740354061127,0.051879883,2741.04466176033,0.005084702,2113536,1.3744116,264192,34.380768,1500.0,129,412.81666666666666
802,-0.0013469527,0.761742889881134,0.022839356,2761.4582920074463,0.0033479389,2129920,1.4018675,266240,20.93952,1500.0,130,427.3666666666667
802,-0.001622042,0.8005434721708298,0.04734497,2781.8624355793,0.0049474337,2146304,1.4666042,268288,24.891651,1500.0,131,445.2366666666667
739,-0.0017955567,0.7757223844528198,0.02255249,2804.0196096897125,0.0055171186,2162688,1.4691379,270336,34.952538,1500.0,132,452.36
782,-0.0030177482,-0.18265581130981445,0.13123779,2824.958556175232,0.010366864,2179072,1.5018739,272384,0.0010684791,1500.0,133,449.8333333333333
787,-0.0027172337,-0.3816654682159424,0.055529784,2845.756953716278,0.0060947007,2195456,1.480516,274432,0.00061199453,1500.0,134,444.36333333333334
