eprewmean,eplenmean,explained_variance,policy_entropy,value_loss,policy_loss,time_elapsed,fps,serial_timesteps,nupdates,approxkl,total_timesteps,clipfrac
40.09906955434783,1501.0,-0.47075700759887695,1.5880767,2.7532951e-05,-0.00053324,558.0690741539001,535,35328,69,0.00013093824,282624,0.0
40.09906955434783,1501.0,-0.0611269474029541,1.5889364,1.2392461e-05,-6.74102e-05,565.5878739356995,544,35840,70,4.80685e-05,286720,0.0
38.428274989583336,1501.0,-1.106745958328247,1.5888847,1.931756e-05,-0.00013148894,574.0089304447174,486,36352,71,8.039222e-05,290816,0.0
38.428274989583336,1501.0,-1.3668289184570312,1.5863606,6.8850063e-06,-0.001446173,581.1365232467651,574,36864,72,0.00035064368,294912,0.0
38.428274989583336,1501.0,-0.181768536567688,1.580177,4.025505e-06,-0.000492841,588.4671931266785,558,37376,73,0.00016196593,299008,0.0
36.89114399,1501.0,-1.0706369876861572,1.5784087,9.53763e-06,-5.8872974e-06,597.2082352638245,468,37888,74,3.0256955e-05,303104,0.0
36.89114399,1501.0,-2.2871956825256348,1.575366,1.5611977e-05,-9.14036e-05,604.222425699234,584,38400,75,8.602758e-05,307200,0.0
36.89114399,1501.0,0.34002554416656494,1.5728604,5.5270157e-06,-8.639061e-05,611.0288581848145,601,38912,76,7.393475e-05,311296,0.0
35.472253836538464,1501.0,-1.5524659156799316,1.5722898,1.9640522e-05,-0.00022596768,619.673966884613,473,39424,77,8.0664075e-05,315392,0.0
35.472253836538464,1501.0,0.13911235332489014,1.5742254,2.1053189e-05,-7.173326e-05,626.7656905651093,577,39936,78,7.861837e-05,319488,0.0
35.472253836538464,1501.0,0.8543950915336609,1.5785738,4.8773047e-05,-0.00029997973,633.5688426494598,602,40448,79,0.00013216856,323584,0.0
34.15846665740741,1501.0,0.37919169664382935,1.5808392,3.9488114e-05,-0.00053756154,641.9843573570251,486,40960,80,0.00015348778,327680,0.0
34.15846665740741,1501.0,0.1306401491165161,1.5809699,6.7779033e-06,-6.070305e-05,649.1792562007904,569,41472,81,4.7798723e-05,331776,0.0
34.15846665740741,1501.0,0.406480610370636,1.581728,3.7154057e-06,-0.00040955472,655.7750251293182,621,41984,82,0.0001519171,335872,0.0
32.93852141964286,1501.0,-0.0031926631927490234,1.583083,4.286079e-06,-0.00012248299,664.683985710144,459,42496,83,6.0216553e-05,339968,0.0
32.93852141964286,1501.0,-0.14931166172027588,1.5813817,3.6947806e-06,-8.680671e-05,671.8427059650421,572,43008,84,5.51815e-05,344064,0.0
32.93852141964286,1501.0,0.2383805513381958,1.5793623,2.5535585e-06,-0.00012098925,678.8593409061432,583,43520,85,4.674193e-05,348160,0.0
31.802710336206896,1501.0,-1.4687752723693848,1.5792154,8.595721e-06,-0.000117412645,687.1277561187744,495,44032,86,5.731783e-05,352256,0.0
31.802710336206896,1501.0,-1.677046298980713,1.5777439,3.184213e-06,1.9087844e-05,694.6389434337616,545,44544,87,3.2936983e-05,356352,0.0
30.74261999166667,1501.0,0.9221676662564278,1.5779921,3.869876e-06,-0.00035770994,703.6777546405792,453,45056,88,4.426221e-05,360448,0.0
30.74261999166667,1501.0,-1.0542974472045898,1.5850463,5.8857695e-05,-7.479688e-05,710.5692527294159,594,45568,89,8.246746e-05,364544,0.0
30.74261999166667,1501.0,0.23559129238128662,1.5833067,2.1954751e-05,-8.393857e-05,717.677529335022,576,46080,90,5.178813e-05,368640,0.0
29.875922572580645,1501.0,0.004102885723114014,1.5780202,0.45465887,-0.0012152138,729.1443037986755,357,46592,91,0.0003728302,372736,0.0
29.875922572580645,1501.0,0.37436443567276,1.568357,6.160324e-05,-0.0007792372,738.6432659626007,431,47104,92,0.00019775915,376832,0.0
29.875922572580645,1501.0,-0.0011116266250610352,1.5689597,1.2574703,-0.00010924432,748.1850683689117,429,47616,93,8.28162e-05,380928,0.0
31.8954249921875,1501.0,0.004198551177978516,1.5687624,12.072965,6.1438164e-05,758.3573355674744,402,48128,94,3.4216802e-05,385024,0.0
31.8954249921875,1501.0,-0.8063898086547852,1.5676821,0.00064073456,-0.0003130225,766.7092068195343,490,48640,95,0.00011384673,389120,0.0
31.8954249921875,1501.0,0.09954661130905151,1.5720803,0.0002524395,-0.0012331336,774.3284230232239,537,49152,96,0.0005269767,393216,0.0
30.92889696212121,1501.0,0.9251342415809631,1.5798057,0.00011045082,-0.00014239018,783.5437834262848,444,49664,97,0.00011019772,397312,0.0
30.92889696212121,1501.0,0.20098376274108887,1.5825611,0.0001052096,-0.00060183846,791.0222637653351,547,50176,98,0.00021489675,401408,0.0
30.92889696212121,1501.0,0.21427810192108154,1.5824528,4.276609e-05,-0.00022472616,798.4978680610657,547,50688,99,8.4841035e-05,405504,0.0
30.019223522058823,1501.0,0.11905777454376221,1.5859361,0.00016233073,-0.0003101992,807.5582611560822,452,51200,100,0.00014948357,409600,0.0
30.019223522058823,1501.0,0.28833919763565063,1.5864797,2.3946022e-05,-0.0011030837,815.1836669445038,537,51712,101,0.00034469416,413696,0.0
30.019223522058823,1501.0,0.544016569852829,1.583931,2.4654188e-05,-0.00027597262,822.4181230068207,566,52224,102,0.0001500713,417792,0.0
29.16153142142857,1501.0,0.49013298749923706,1.5861635,0.00012214656,2.8211582e-05,831.1772313117981,467,52736,103,1.683467e-05,421888,0.0
29.16153142142857,1501.0,0.06107836961746216,1.583602,3.414378e-05,-0.00019448345,838.3507375717163,571,53248,104,9.167498e-05,425984,0.0
29.16153142142857,1501.0,-0.06897091865539551,1.5826405,1.8715242e-05,-0.0002746382,845.1851332187653,599,53760,105,0.000103965285,430080,0.0
