approxkl,fps,serial_timesteps,eprewmean,value_loss,total_timesteps,policy_loss,eplenmean,clipfrac,time_elapsed,policy_entropy,nupdates,explained_variance
0.006290975,383,108000,0.0,0.65166575,108000,-0.0009504299,1500.0,0.07253332,278.3916320800781,0.96037894,72,0.4784761071205139
0.009249074,347,109500,0.0,0.2998726,109500,-0.00087483117,1500.0,0.09720001,282.71367287635803,0.7995987,73,0.545653760433197
0.0058400277,393,111000,0.0,0.16681302,111000,-0.0021883305,1500.0,0.06733331,286.5252511501312,0.76835173,74,0.40450406074523926
0.006671521,380,112500,0.0,0.15480717,112500,-0.0045129345,1500.0,0.08706664,290.4663345813751,1.0609642,75,0.7808075398206711
0.008489966,381,114000,0.0,0.18061386,114000,-0.006535365,1500.0,0.08999998,294.3995006084442,0.9735872,76,0.5170058608055115
0.009058551,385,115500,0.0,0.098231286,115500,-0.0060150707,1500.0,0.12033332,298.2944269180298,0.9733067,77,0.8256184309720993
0.0149346115,374,117000,0.0,0.17834997,117000,-0.005934537,1500.0,0.16546671,302.29599022865295,0.9404983,78,0.15612030029296875
0.011389662,389,118500,0.0,0.21969701,118500,-0.0056589986,1500.0,0.14593333,306.14725160598755,0.9221826,79,0.23997139930725098
0.011822108,391,120000,0.0,0.13735227,120000,-0.008454871,1500.0,0.13926667,309.9753620624542,0.9000958,80,0.14204341173171997
0.0066905697,392,121500,0.0,0.15769818,121500,-0.005080177,1500.0,0.08699997,313.7965130805969,0.80699456,81,0.2267528772354126
0.0055622784,386,123000,0.0,0.16284515,123000,-0.00324628,1500.0,0.054999977,317.67695665359497,0.7932891,82,0.4966254234313965
0.007156467,377,124500,0.0,0.15163961,124500,-0.006656149,1500.0,0.10966666,321.65083932876587,0.7723604,83,0.4885515570640564
0.008018816,391,126000,0.0,0.12244449,126000,-0.0081147365,1500.0,0.0889333,325.48673963546753,0.8111262,84,0.05929166078567505
0.0067132805,370,127500,0.0,0.10162708,127500,-0.0031722623,1500.0,0.071333304,329.53792452812195,0.80571306,85,0.5594198405742645
0.011545676,357,129000,0.0,0.12817217,129000,-0.009846311,1500.0,0.19673333,333.73876786231995,0.84740883,86,0.3034723401069641
0.008731611,371,130500,0.0,0.100246236,130500,-0.0060420837,1500.0,0.11300005,337.7739541530609,0.8170397,87,0.4770001173019409
0.013007365,391,132000,0.0,0.14725167,132000,-0.009635075,1500.0,0.13013335,341.6083941459656,0.9707197,88,0.7675732523202896
0.011994516,373,133500,0.0,0.18470071,133500,-0.0028618262,1500.0,0.15866667,345.62120389938354,0.92403555,89,0.6105196177959442
0.013942284,352,135000,0.0,0.08741072,135000,-0.007196708,1500.0,0.20940004,349.8727033138275,0.91239375,90,0.5383471250534058
0.009878007,385,136500,0.0,0.08940093,136500,-0.0056245504,1500.0,0.14553337,353.76371788978577,0.8107261,91,0.5076778829097748
0.008270293,384,138000,0.0,0.19937235,138000,-0.0040299683,1500.0,0.09753334,357.66829681396484,0.8110134,92,0.24755877256393433
0.008838806,382,139500,0.0,0.11961684,139500,-0.007054267,1500.0,0.11519998,361.587863445282,0.90057355,93,0.7995463162660599
0.009579014,394,141000,0.0,0.19591863,141000,-0.005206297,1500.0,0.112399995,365.39501667022705,0.92441994,94,0.7026504278182983
0.020204516,384,142500,0.0,0.07181807,142500,-0.01062425,1500.0,0.14453338,369.29888439178467,0.87599176,95,0.7960941344499588
0.006773752,387,144000,0.0,0.128974,144000,-0.005742597,1500.0,0.089666665,373.17248606681824,0.8804889,96,0.7145814001560211
0.0066605397,368,145500,0.0,0.08061437,145500,-0.0035535563,1500.0,0.06286663,377.24794483184814,0.8453762,97,0.5439852178096771
0.009857432,390,147000,0.0,0.06480453,147000,-0.004726219,1500.0,0.14639999,381.09318923950195,0.8045937,98,0.5928250849246979
0.009547006,387,148500,0.0,0.1994667,148500,-0.0020759944,1500.0,0.1031333,384.9630317687988,0.77326876,99,0.7649659216403961
