eplenmean,total_timesteps,fps,explained_variance,serial_timesteps,eprewmean,policy_entropy,value_loss,clipfrac,nupdates,approxkl,time_elapsed,policy_loss
1119.0,99000,337,0.9649889171123505,99000,522.807539,0.9307221,20.226421,0.00033333336,66,0.0011428916,285.11382484436035,-0.003150549
1202.0,100500,362,0.9970165125560015,100500,678.197376,0.74849296,1.9764626,0.021599999,67,0.0020363021,289.25348687171936,-0.0022769966
1500.0,102000,355,0.9613267332315445,102000,877.157079,1.0457159,19.764128,0.0021999995,68,0.0014782967,293.46859312057495,-0.00042368355
1500.0,103500,360,0.9635988511145115,103500,786.755792,1.0367068,19.216276,0.005066667,69,0.001441389,297.62901759147644,-0.0020046616
1500.0,105000,359,0.9570559076964855,105000,885.162337,1.0813212,19.841736,0.033066653,70,0.0047997604,301.802362203598,-0.002668324
1425.0,106500,344,0.9963683860842139,106500,857.928585,1.031885,1.5603805,0.05806663,71,0.0046847756,306.1540517807007,-0.0055413484
1500.0,108000,367,0.9536131359636784,108000,931.142487,1.0714631,18.463255,0.08953332,72,0.0055909515,310.23850440979004,-0.007005783
1500.0,109500,363,0.96786729991436,109500,857.622466,1.0410721,18.51935,0.0011333334,73,0.0020384137,314.3653972148895,-0.0004990313
1500.0,111000,346,0.9602095521986485,111000,776.052337,1.0015304,23.026196,0.062066652,74,0.0041097123,318.6887307167053,-0.0035998244
1500.0,112500,340,0.9529237672686577,112500,850.51998,1.0495915,18.992035,6.666667e-05,75,0.0013308302,323.0908372402191,-0.0013562713
1500.0,114000,338,0.9566877149045467,114000,922.695248,1.0673468,19.129534,0.0314,76,0.0028587678,327.526570558548,-0.0021058286
1500.0,115500,339,0.9382390603423119,115500,707.783719,1.0306038,33.46768,0.035466656,77,0.0029992762,331.9473452568054,-0.003104159
1500.0,117000,350,0.9673140905797482,117000,765.631866,1.0115186,23.095299,0.016133334,78,0.0023875167,336.22862935066223,-0.0023419282
1500.0,118500,368,0.9428412839770317,118500,755.580599,0.98648053,25.166103,0.0128666675,79,0.0011927437,340.29990696907043,-0.0011235431
1500.0,120000,368,0.9463393948972225,120000,971.844312,1.129564,19.44934,0.00013333333,80,0.0006946596,344.37562918663025,-0.00020367857
1500.0,121500,348,0.9663490243256092,121500,929.597518,1.1010518,18.06245,0.010533333,81,0.0022771717,348.68508076667786,-0.001394007
1500.0,123000,360,0.9576581679284573,123000,780.959208,1.00221,22.555645,0.049733333,82,0.0032394996,352.84679555892944,-0.0018482739
1500.0,124500,329,0.965519342571497,124500,882.172814,1.0278983,18.069918,0.008933334,83,0.0019479058,357.3991448879242,-0.0019555346
1500.0,126000,380,0.9518203176558018,126000,834.351111,1.01588,21.820137,0.021866668,84,0.0016520635,361.3414783477783,-0.0017329726
1500.0,127500,363,0.9664162285625935,127500,904.591457,1.0618517,18.503582,0.012666667,85,0.0010736934,365.469589471817,-0.001547467
1348.0,129000,343,0.9941713716834784,129000,753.556495,0.93495226,2.9228044,0.011399997,86,0.0025462704,369.84070801734924,-0.0018519445
1500.0,130500,319,0.9590059146285057,130500,966.057985,1.0367597,18.02675,0.00033333336,87,0.0012793079,374.5420653820038,-0.0013565095
1500.0,132000,346,0.9675047621130943,132000,862.46186,1.0432318,18.040787,0.021533333,88,0.0017859703,378.8716630935669,-0.0018114607
1362.0,133500,351,0.9971662114840001,133500,716.956112,0.9425525,1.4274898,0.04973331,89,0.0034468707,383.1382350921631,-0.005828236
1500.0,135000,361,0.9654037207365036,135000,808.88353,0.98124117,24.52306,0.05039998,90,0.003351764,387.2853105068207,-0.0014773249
1326.0,136500,350,0.9952360182069242,136500,708.758192,0.9825726,2.9431574,0.019199992,91,0.00302148,391.5707256793976,-0.0022479636
1500.0,138000,351,0.95226239413023,138000,754.279803,1.0751837,22.998997,0.009133334,92,0.0020217404,395.83750081062317,-0.003244811
1500.0,139500,355,0.9582759328186512,139500,929.05376,0.97685933,19.468237,0.0044666664,93,0.0018289329,400.0591595172882,-0.0015897839
1500.0,141000,357,0.9663105197250843,141000,866.055554,0.9784029,19.294415,0.0002,94,0.0009060441,404.2525885105133,-0.0017023358
1500.0,142500,349,0.9514161460101604,142500,836.638448,1.0829452,23.243092,0.081199974,95,0.0051679723,408.5452435016632,-0.004031234
1500.0,144000,354,0.9659217149019241,144000,882.159094,1.0082173,18.44625,0.0012666668,96,0.0017126403,412.77124643325806,-0.00082707964
1500.0,145500,351,0.9485603906214237,145500,841.150881,1.0024322,24.341494,0.05953332,97,0.003842528,417.03869342803955,-0.004374941
849.0,147000,363,0.9942171848379076,147000,283.998961,1.0413353,3.297088,0.019399999,98,0.0027324518,421.169885635376,-0.001747863
1500.0,148500,364,0.9945535967126489,148500,859.474381,1.0706451,3.2398417,0.056333307,99,0.0038201327,425.2855558395386,-0.0044747507
1500.0,150000,351,0.9940023114904761,150000,762.709325,1.0664101,3.2514856,0.025866665,100,0.003158398,429.55239725112915,-0.0020687983
1500.0,151500,359,0.9934117333032191,151500,842.110555,0.9363829,2.8242998,0.036733326,101,0.0040762248,433.72935676574707,-0.0028473618
1500.0,153000,342,0.9920192770659924,153000,888.499058,1.0119162,2.874537,0.004066666,102,0.001709262,438.1056115627289,-0.0010005019
1500.0,154500,351,0.9942906573414803,154500,960.085465,0.9835443,3.4285123,0.088600025,103,0.0073296484,442.3774287700653,-0.005097115
1500.0,156000,361,0.9942106045782566,156000,795.548715,1.0047528,3.6053643,0.020599999,104,0.0020672441,446.5262701511383,-0.0017158292
1110.0,157500,311,0.9866791488602757,157500,609.517909,0.7253541,7.9900455,0.010533334,105,0.0012668059,451.34809947013855,-0.0019246378
1500.0,159000,320,0.9651215560734272,159000,745.581077,1.0337254,20.90773,0.12586667,106,0.0065784426,456.02147459983826,-0.00612743
1500.0,160500,330,0.9566754251718521,160500,815.890619,1.0390857,22.119461,0.08699998,107,0.0053614466,460.55470538139343,-0.0046878946
1500.0,162000,337,0.9661864638328552,162000,798.788793,1.0505264,20.335676,0.16419996,108,0.009181161,464.99329900741577,-0.0049264226
1500.0,163500,331,0.957741592079401,163500,807.251657,1.0168356,21.910927,0.15660001,109,0.0077541727,469.5128197669983,-0.00716447
1173.0,165000,359,0.9796874206513166,165000,603.784406,0.93265146,6.227324,0.0737333,110,0.0058488166,473.6837902069092,-0.0039079897
962.0,166500,364,0.3281404972076416,166500,1302.782529,0.9692061,1648.1539,0.03546666,111,0.0037919497,477.8039698600769,-0.004493575
1500.0,168000,333,0.9661125652492046,168000,777.111056,1.0358758,20.044405,0.008933333,112,0.0022325402,482.29634070396423,-0.0011527037
1500.0,169500,344,0.9542235359549522,169500,775.607132,0.99971277,27.366203,0.0017333335,113,0.00084759743,486.65260076522827,-0.0012420563
1500.0,171000,367,0.9631180837750435,171000,654.023877,1.0396235,19.746544,0.025999995,114,0.003755232,490.7367465496063,-0.0011493784
1500.0,172500,353,0.9651765115559101,172500,863.078193,1.0188859,19.709505,6.666667e-05,115,0.00053615257,494.9802930355072,6.1041785e-05
1057.0,174000,335,0.9876780798658729,174000,618.352478,0.6203044,7.44034,0.005333333,116,0.000993966,499.4519712924957,-0.0012314965
1500.0,175500,355,0.9638715945184231,175500,811.786997,1.020959,20.03502,0.055533327,117,0.0038026706,503.6731252670288,-0.0047210325
1492.0,177000,356,0.9968768619000912,177000,870.03831,0.98807037,1.7491478,0.026133327,118,0.0025352545,507.87751388549805,-0.0020532906
1500.0,178500,349,0.9586712270975113,178500,783.115227,1.0422549,20.842745,0.024066655,119,0.0033641278,512.1639261245728,-0.0036404752
1500.0,180000,353,0.966857086867094,180000,818.729801,1.0745375,19.506336,0.07419999,120,0.0050554196,516.4018173217773,-0.004473467
1500.0,181500,360,0.9485384337604046,181500,769.330184,1.0803003,20.331388,0.021533333,121,0.0021630079,520.5584588050842,-0.0014973527
971.0,183000,323,0.0014417767524719238,183000,499.930901,0.8437686,12566368.0,0.0,122,0.00058712676,525.1948924064636,-0.0012370424
1099.0,184500,342,0.99576999200508,184500,608.036032,0.6752963,2.158244,0.0073999977,123,0.0017857255,529.5716869831085,-0.001426859
1500.0,186000,343,0.965107586234808,186000,764.212406,1.0975068,20.2006,0.029533334,124,0.002991021,533.9451861381531,-0.0032527375
1500.0,187500,348,0.9649986065924168,187500,775.466234,1.0943836,19.545235,0.012800001,125,0.001683581,538.2548732757568,-0.002400908
1500.0,189000,331,0.9389823973178864,189000,779.592881,1.0549954,21.88571,0.02946667,126,0.0026174558,542.7744736671448,-0.0017598366
793.0,190500,339,0.930271215736866,190500,527.438466,1.0493835,40.914787,0.00033333336,127,0.000904388,547.1958656311035,-0.0004920804
1500.0,192000,352,0.964092493057251,192000,801.505588,1.0814797,19.720299,0.0,128,0.0008245602,551.449376821518,-0.0019772109
1500.0,193500,337,0.9662136025726795,193500,782.572773,1.0266677,19.383223,0.040333327,129,0.0032217063,555.8975491523743,-0.0019322379
726.0,195000,318,0.141343891620636,195000,1871.300465,0.56455684,6802.6294,0.022733323,130,0.0021211575,560.6055653095245,-0.0036409697
778.0,196500,340,0.9691412411630154,196500,454.757094,0.9658215,19.83778,0.024466665,131,0.0024919822,565.0082900524139,-0.0018886706
1500.0,198000,349,0.9667914174497128,198000,763.484557,1.0524669,18.719763,0.0108,132,0.0017126731,569.2989091873169,-0.0011841723
664.0,199500,335,0.9635670110583305,199500,308.818525,0.5904176,19.548326,0.0,133,7.1872506e-05,573.7725455760956,-0.00020269986
1500.0,201000,356,0.9495596177875996,201000,811.698043,1.0214722,22.288464,0.011399998,134,0.0018632152,577.9765915870667,-0.0020490275
840.0,202500,354,0.9689394757151604,202500,264.43664,0.97354394,17.865166,0.023533322,135,0.0033349132,582.2058248519897,-0.0059070303
801.0,204000,326,0.9643673896789551,204000,443.216725,0.6185784,21.749825,0.021533327,136,0.0025626896,586.8028628826141,-0.0035049373
1265.0,205500,356,0.9901158679276705,205500,684.100869,0.8497164,4.1282945,0.01333333,137,0.002354383,591.0062589645386,-0.001363363
681.0,207000,364,0.9978186751250178,207000,329.06438,1.0088958,1.1698395,0.005733332,138,0.0021002085,595.1205947399139,-0.0027754158
814.0,208500,329,0.9855604618787766,208500,414.956553,0.52239686,8.13599,0.014266662,139,0.0023752535,599.668839931488,-0.0040070657
748.0,210000,328,0.9444169513881207,210000,423.766006,0.5876016,35.156147,0.0031333335,140,0.0008408329,604.2394390106201,-0.0015696825
805.0,211500,338,0.9911445286124945,211500,415.182896,0.60347974,4.788065,0.009199999,141,0.0010556058,608.6709296703339,-0.0016910776
1137.0,213000,300,0.9954213770106435,213000,648.397456,0.82840383,2.8611746,0.01213333,142,0.0014333901,613.6644811630249,-0.0022862558
1500.0,214500,320,0.966548565775156,214500,794.228141,0.95669234,17.612968,0.0,143,0.00019951772,618.3379938602448,-7.052354e-05
801.0,216000,327,0.7474658787250519,216000,741.464762,0.6804171,207.73756,0.07699998,144,0.0046365825,622.9141664505005,-0.0046604
1315.0,217500,358,0.988996391184628,217500,748.896786,0.85596526,6.444801,0.011866664,145,0.0021635895,627.093448638916,-0.0030948147
1500.0,219000,358,0.9617041349411011,219000,794.650216,0.94234115,20.254597,0.05606665,146,0.0037508232,631.282696723938,-0.0026982557
1181.0,220500,348,0.8935539424419403,220500,846.146503,0.8089636,75.29659,0.023266658,147,0.0023405894,635.5878517627716,-0.0026078438
1492.0,222000,347,0.9757373407483101,222000,929.009502,1.0010182,10.884012,0.049599987,148,0.003975528,639.8996257781982,-0.0018829214
840.0,223500,331,0.9149407967925072,223500,457.142896,0.6786489,54.29644,0.01833333,149,0.0024625922,644.4225332736969,-0.002061355
835.0,225000,329,0.9605638906359673,225000,325.92007,0.6474018,21.025337,0.018933328,150,0.0015032851,648.9738576412201,-0.0022476616
660.0,226500,326,0.034138023853302,226500,4655.416372,0.5807818,53217.72,0.014133333,151,0.001645454,653.5628545284271,-0.0010022525
729.0,228000,320,0.9515445306897163,228000,192.614846,0.48441488,25.339943,0.027933318,152,0.0022425142,658.2445199489594,-0.0035686886
1293.0,229500,360,0.9978034216910601,229500,730.920353,0.99195826,0.8683553,0.013466664,153,0.0016786588,662.4095659255981,-0.0019860538
770.0,231000,337,0.9928105105645955,231000,319.069976,0.56857324,4.003195,0.0013333332,154,0.0005702699,666.8619031906128,-0.00088996557
1283.0,232500,366,0.909935362637043,232500,816.306632,0.9868826,53.83234,0.03386666,155,0.00328989,670.9542765617371,-0.0039381115
1298.0,234000,334,0.9349178001284599,234000,687.105683,1.0045495,37.73557,0.0,156,0.0012295304,675.4443967342377,-0.0018253851
727.0,235500,358,0.9959929119795561,235500,407.129948,0.6092791,2.091492,0.0063999994,157,0.000989864,679.630624294281,-0.000695525
1092.0,237000,332,0.012733280658721924,237000,11799.084606,0.7403079,365614.03,0.012866667,158,0.0014388966,684.1388988494873,-0.0024185402
886.0,238500,364,0.9968606128823012,238500,490.24863,0.7494072,1.733591,0.014799996,159,0.0014087743,688.2561459541321,-0.0022981479
1278.0,240000,331,0.002400636672973633,240000,695.363312,0.7956006,7672569.5,0.049199972,160,0.004124098,692.7765927314758,-0.0075731915
752.0,241500,347,0.48832011222839355,241500,817.527122,0.53953665,794.4732,0.051866647,161,0.0043183924,697.0921034812927,-0.006222539
907.0,243000,348,0.9651063978672028,243000,344.695891,0.5653999,18.91889,0.033999987,162,0.0023292806,701.3993363380432,-0.0043636695
1292.0,244500,383,0.4355887770652771,244500,1146.479897,0.9296174,675.4076,0.07986662,163,0.005009958,705.3125739097595,-0.003892255
997.0,246000,352,0.9953012741170824,246000,405.758752,0.6338188,2.6305192,0.030666651,164,0.0027544682,709.5726547241211,-0.0038527048
795.0,247500,348,0.9445125870406628,247500,308.689671,0.6624246,39.22146,0.0013333334,165,0.0008635262,713.8720574378967,-0.0018978597
1500.0,249000,346,0.9602946639060974,249000,778.298064,0.97034854,19.422346,0.0,166,0.0001590896,718.202484369278,-0.00058619527
790.0,250500,307,0.013973593711853027,250500,9762.891649,0.725968,250459.38,0.004733332,167,0.001542828,723.0813746452332,-0.00067958975
767.0,252000,298,0.9481374397873878,252000,473.078846,0.7203427,27.536917,0.0,168,0.00013177535,728.0998320579529,-0.00030470322
834.0,253500,326,0.3180951476097107,253500,1260.890831,0.73602706,1796.9904,0.032133326,169,0.0032010835,732.6970028877258,-0.003377366
1500.0,255000,342,0.950150765478611,255000,791.338219,1.0880901,19.432138,6.666667e-05,170,0.0005792993,737.0781464576721,1.1209846e-05
850.0,256500,327,0.9939055228605866,256500,445.594587,0.55290884,3.4104095,0.008866664,171,0.0014787783,741.6558730602264,-0.0014453233
790.0,258000,333,0.4607768654823303,258000,965.563071,0.48107165,1007.6889,0.035466652,172,0.0028451777,746.1593265533447,-0.0034333307
1413.0,259500,358,0.08568376302719116,259500,2701.398409,0.933885,10538.418,0.018466666,173,0.0014584447,750.3417961597443,-0.00087672897
1332.0,261000,365,0.9144440740346909,261000,926.349684,0.9672141,56.903168,0.04306665,174,0.0039969627,754.447313785553,-0.0026479813
788.0,262500,336,0.0661584734916687,262500,2492.618851,0.996218,12339.077,0.0045333332,175,0.000842042,758.9032950401306,-0.0018907321
811.0,264000,365,0.9955628784373403,264000,310.92476,0.525103,2.575752,0.012333333,176,0.0014496761,763.00373005867,-0.0021383888
1480.0,265500,362,0.008028268814086914,265500,9507.544726,1.0369745,215424.38,0.0797333,177,0.0052035805,767.145676612854,-0.004498145
