serial_timesteps,fps,policy_entropy,value_loss,eplenmean,approxkl,explained_variance,eprewmean,policy_loss,clipfrac,time_elapsed,total_timesteps,nupdates
111000,377,1.0801765,18.145212,1500.0,0.0035974807,0.9532317817211151,742.055496,-0.0030939085,0.03553333,289.20415115356445,111000,74
112500,355,1.0154779,18.119015,1500.0,0.0003884897,0.9666732139885426,920.544987,-0.00026095673,0.0,293.42918944358826,112500,75
114000,355,1.0480462,20.290724,1500.0,0.003627995,0.9588037431240082,815.725368,-0.0031003708,0.024266658,297.6523394584656,114000,76
115500,362,1.0258489,16.774483,1500.0,0.00017807701,0.9678384549915791,803.605815,-0.00060785835,0.0,301.79258966445923,115500,77
117000,378,1.0354036,18.674639,1500.0,0.0012984514,0.9664828032255173,843.195438,-0.000111780166,0.0026,305.7585837841034,117000,78
118500,397,1.0102022,20.743904,1500.0,0.004007935,0.9515524096786976,766.840149,-0.0068246424,0.04459998,309.53426694869995,118500,79
120000,391,0.9918259,19.223946,1500.0,0.004948849,0.9492397271096706,845.254869,-0.0022096029,0.056466654,313.36692476272583,120000,80
121500,387,0.9821441,23.073313,1500.0,0.009070016,0.934508703649044,885.117913,-0.007983298,0.16693334,317.2430667877197,121500,81
123000,358,0.8112417,200.04086,937.0,0.0019103899,0.7638512402772903,685.081175,-0.0010679846,0.014466666,321.4247064590454,123000,82
124500,395,0.7895855,1.9481715,1278.0,0.0016676453,0.996956737479195,630.119254,-0.0023538996,0.011799999,325.21615529060364,124500,83
126000,388,0.7393391,8445.301,1177.0,0.0029040466,0.11077535152435303,2230.285669,-0.002780424,0.03093332,329.0742950439453,126000,84
127500,387,0.9956063,18.568731,1500.0,0.0021700077,0.9629793353378773,801.521702,-0.0011096109,0.01853333,332.9406986236572,127500,85
129000,374,0.973927,18.193672,1500.0,0.0015543408,0.9688617698848248,857.110904,-0.0027715596,0.0063333334,336.94248843193054,129000,86
130500,383,1.0604655,22.485628,1397.0,9.127547e-05,0.932687297463417,559.928058,-0.0005397095,0.0,340.8564999103546,130500,87
132000,393,1.003989,20.090174,1500.0,0.0009501513,0.9414440132677555,975.251936,-0.00092087704,0.00053333334,344.6728241443634,132000,88
133500,386,0.93535566,18.129702,1500.0,0.0010412667,0.9662937894463539,910.96367,-0.0007882715,0.00053333334,348.5591821670532,133500,89
135000,394,0.9825847,16.135498,1422.0,0.0011956446,0.9721870664507151,727.943755,-0.0004133345,0.0017333333,352.36017084121704,135000,90
136500,379,0.9671246,26.509441,1170.0,0.0015476426,0.9384028650820255,417.325119,-0.0016102527,0.010066667,356.3159272670746,136500,91
138000,363,0.90867925,13.232427,1300.0,0.0019935288,0.9776596967130899,653.743152,-0.0022804618,0.008866667,360.4421238899231,138000,92
139500,394,1.0670944,17.85684,1500.0,0.0026215396,0.9701582379639149,768.994467,-0.0029961055,0.033666655,364.24111557006836,139500,93
141000,389,0.6113726,4.300965,980.0,0.00117487,0.9924902147613466,365.760232,-0.0029177633,0.016866663,368.0957245826721,141000,94
142500,391,1.0639188,19.079948,1500.0,0.00014782036,0.9564483016729355,805.098408,-0.00045423952,0.0,371.9260964393616,142500,95
144000,383,0.88735855,30.58898,1500.0,0.0006301776,0.9469185173511505,645.692635,-0.0011319711,0.0024666667,375.84271454811096,144000,96
145500,389,1.085238,28.569813,1500.0,0.00070369465,0.9283150285482407,668.063255,-0.0016746782,0.00013333333,379.691837310791,145500,97
147000,395,0.9396436,18.860023,1500.0,0.0020986176,0.9560352116823196,913.44527,-0.0005620084,0.00040000002,383.48795080184937,147000,98
148500,394,1.0430245,18.966076,1500.0,0.0024847311,0.9510647915303707,884.638621,-0.0017424169,0.0071333325,387.29358768463135,148500,99
150000,382,1.0172194,18.160511,1500.0,0.005571104,0.9450446628034115,964.68501,-0.003685615,0.0695333,391.2162230014801,150000,100
151500,389,0.95181364,20.728352,1500.0,0.0018466242,0.9643985033035278,918.900982,-0.0018406283,0.012666668,395.07094383239746,151500,101
153000,393,1.031208,20.384024,1500.0,0.0032057827,0.9570426531136036,734.204591,-0.0026162046,0.031733323,398.8789918422699,153000,102
154500,388,0.8950296,20.009735,1500.0,0.0009428046,0.962801855057478,906.852675,-0.0018021358,0.0012,402.74134254455566,154500,103
156000,383,1.0200862,22.894949,1500.0,0.0017587399,0.9642249532043934,783.41642,-0.00091203436,0.0144,406.65163826942444,156000,104
157500,396,1.0154573,32.92956,1500.0,0.00051152485,0.9419328197836876,665.60199,-0.000832352,0.0002,410.431884765625,157500,105
159000,397,1.0355519,21.826487,1500.0,0.00360955,0.9631810076534748,846.651302,-0.0028150224,0.04106665,414.20419049263,159000,106
160500,393,1.0417471,25.415318,1500.0,0.003406034,0.9580939747393131,738.929465,-0.001767433,0.03586666,418.0119860172272,160500,107
162000,392,1.0238382,22.510628,1500.0,0.0019424758,0.9517980590462685,796.918433,-0.0020993731,0.010933332,421.8335313796997,162000,108
163500,395,0.97025144,18.372463,1500.0,0.004633873,0.9658450447022915,807.426422,-0.0051027667,0.049066667,425.6264042854309,163500,109
165000,383,1.0715542,22.19077,1500.0,0.007939171,0.9542798139154911,777.772381,-0.0051227123,0.15053335,429.5407612323761,165000,110
166500,383,0.92351747,26.926584,1500.0,0.004268001,0.9225513190031052,774.989597,-0.004072453,0.037199993,433.45208644866943,166500,111
168000,390,1.0215391,18.38104,1500.0,0.0072215544,0.9502842724323273,929.435886,-0.004929973,0.10013331,437.2969288825989,168000,112
169500,392,1.0488205,17.257597,1500.0,0.004470816,0.9562662318348885,930.71768,-0.0029389786,0.05966665,441.1173415184021,169500,113
171000,387,1.0094686,17.8832,1500.0,0.0011799773,0.9677004516124725,920.995803,-0.0013254982,0.0028,444.9862537384033,171000,114
172500,389,1.0518993,21.528736,1500.0,0.0041724513,0.9626989662647247,721.289319,-0.002832235,0.051266648,448.8387336730957,172500,115
174000,387,0.9781944,22.406748,1388.0,0.00091185025,0.9589964896440506,630.756013,-0.0014173859,0.0036000002,452.707967042923,174000,116
175500,377,1.0935084,20.326044,1500.0,0.0031392998,0.9542013444006443,844.617273,-0.0020252003,0.021466658,456.6820809841156,175500,117
177000,387,0.95397127,22.689165,1500.0,0.004268041,0.9552475064992905,786.098707,-0.0020882464,0.05459998,460.5510823726654,177000,118
178500,383,1.0482496,17.60337,1500.0,0.00401447,0.9691282175481319,859.740192,-0.004785337,0.04506666,464.4665894508362,178500,119
180000,390,0.9952375,11.806554,1328.0,0.0034117189,0.9809918273240328,660.419397,-0.0053178854,0.0468,468.3072485923767,180000,120
181500,381,1.0513349,26.26845,1500.0,0.0020117953,0.9478320330381393,778.825242,-0.00284994,0.0168,472.2389578819275,181500,121
183000,376,0.9410527,28.50774,1500.0,0.00041475956,0.9458309151232243,656.481128,-0.0002562074,0.0011333334,476.2205789089203,183000,122
184500,393,1.1172662,19.610296,1500.0,0.0024532482,0.9517949670553207,706.966822,-0.0024709727,0.015399995,480.0304090976715,184500,123
186000,391,0.9898794,19.11371,1500.0,0.0032222006,0.9527862071990967,910.846105,-0.0023123955,0.025799997,483.8579511642456,186000,124
187500,379,1.0587182,27.766891,1500.0,0.0021218008,0.9234682619571686,652.610161,-0.0005736555,0.013733332,487.810911655426,187500,125
189000,376,1.0233059,19.171188,1500.0,0.00020626056,0.9637834094464779,826.684582,-0.00030938725,0.0006000001,491.7969615459442,189000,126
190500,394,1.0828807,21.991343,1500.0,0.0021427462,0.95167076587677,839.35053,-0.00081954396,0.010333334,495.59490966796875,190500,127
192000,390,1.0857953,25.699028,1500.0,0.0016984013,0.9328249022364616,826.843703,-0.0015095788,0.007866667,499.4405086040497,192000,128
193500,385,1.0491391,18.716827,1500.0,0.0017434927,0.9530490189790726,917.094539,-0.0016027087,0.008799999,503.3355014324188,193500,129
195000,377,1.0358151,27.2026,1500.0,0.002838327,0.9310014322400093,791.027392,-0.0022432893,0.010333334,507.313036441803,195000,130
196500,378,1.0926489,17.231441,1500.0,0.0027128141,0.9521603733301163,834.289425,-0.0007998922,0.003466666,511.2802577018738,196500,131
198000,389,1.0452641,21.193645,1500.0,0.0037819403,0.9604777507483959,923.257079,-0.0044849003,0.041199993,515.134388923645,198000,132
199500,391,1.0937812,21.487146,1500.0,0.0023628466,0.9464108571410179,776.263364,-0.002269846,0.014866664,518.9695665836334,199500,133
201000,382,1.021336,23.123917,1500.0,0.0018533436,0.9480048194527626,843.949189,-0.0008064863,0.0025333334,522.8916897773743,201000,134
202500,390,0.9915607,19.778376,1500.0,0.0014984602,0.9653505235910416,792.626661,-0.0019714988,0.008466666,526.7330467700958,202500,135
204000,389,1.0451744,20.988445,1500.0,0.004006079,0.958036907017231,679.049771,-0.0037548107,0.050799996,530.5802373886108,204000,136
205500,374,1.0232636,18.008995,1500.0,0.0025754562,0.967962421476841,824.639019,-0.0027845176,0.02233333,534.5826661586761,205500,137
207000,394,1.0720627,21.952156,1500.0,0.0090259425,0.9630328975617886,774.695333,-0.0054772943,0.15066662,538.3853535652161,207000,138
208500,391,1.0404637,23.36915,1500.0,0.0008817973,0.9645631350576878,756.785907,-0.00024043392,0.00086666667,542.2199807167053,208500,139
210000,382,1.1096482,20.971897,1500.0,0.005562326,0.9470616951584816,722.140909,-0.0041892244,0.07666664,546.1401076316833,210000,140
211500,383,0.9639254,20.807014,1500.0,0.0026548898,0.9617741703987122,889.497018,-0.0016442017,0.025399994,550.0531413555145,211500,141
213000,393,1.0133834,18.331385,1500.0,0.0034277427,0.9695414435118437,774.294574,-0.003050676,0.03466666,553.8658769130707,213000,142
214500,395,1.003422,21.295994,1500.0,0.0021489968,0.9656530804932117,793.480824,-0.0011899248,0.027666664,557.6543262004852,214500,143
216000,394,1.1033193,21.522049,1500.0,0.0026160604,0.9513434804975986,752.230381,-0.0026035192,0.0052666664,561.4584889411926,216000,144
217500,378,1.0844883,22.257933,1500.0,0.0051717395,0.930963471531868,809.863919,-0.0017720789,0.07499997,565.423228263855,217500,145
219000,387,0.9875747,18.38918,1500.0,0.0007866863,0.9682619944214821,969.99265,-0.0010643972,0.00053333334,569.2920863628387,219000,146
220500,388,1.0017781,382.2009,1268.0,0.002026498,0.6594154238700867,1023.068899,-0.0024839814,0.0073333313,573.1497025489807,220500,147
222000,390,1.1225604,18.918312,1500.0,0.0014158621,0.9447387270629406,778.133236,-0.0022002638,0.0067333328,576.9913618564606,222000,148
223500,393,0.93485504,20.10954,1500.0,0.0028529712,0.9626385010778904,920.178166,-0.0027546906,0.015933333,580.8027060031891,223500,149
225000,378,0.9831798,10.331717,1461.0,0.0005719068,0.9826435688883066,796.237142,-0.0009914142,0.0039999983,584.7620568275452,225000,150
226500,393,1.0642279,17.73415,1500.0,0.0010213384,0.9496220722794533,771.893406,-0.0012559929,0.0002,588.5774369239807,226500,151
228000,385,0.9747999,17.338882,1500.0,0.0009797965,0.9665943942964077,929.83628,-0.00095763983,0.0018666667,592.4657456874847,228000,152
229500,387,0.97379965,89687.8,1164.0,0.005430509,0.006482303142547607,17040.399303,-0.0028957727,0.055466652,596.3337032794952,229500,153
231000,345,0.49459973,797557.8,809.0,0.0001904291,0.007775306701660156,16934.125743,0.00037753434,0.0,600.6725425720215,231000,154
232500,394,0.88882756,19.162329,1500.0,0.0006899809,0.9663943089544773,928.231223,-0.0011867718,0.0029999998,604.4791145324707,232500,155
234000,359,0.84307945,30.576544,900.0,0.0009669374,0.9473226778209209,275.452948,-0.0019208145,0.0015999998,608.6547827720642,234000,156
235500,389,0.61669725,13.459988,821.0,0.0042910827,0.9737877771258354,247.996704,-0.006587619,0.06686663,612.5037794113159,235500,157
237000,348,0.6184386,22.26335,884.0,0.0035841966,0.9532410390675068,417.88324,-0.0063150777,0.045533314,616.8109753131866,237000,158
238500,384,0.9166751,10.0856905,984.0,0.0012923309,0.980380792170763,489.930231,-0.002321233,0.0029333332,620.7077889442444,238500,159
240000,385,0.9664505,10.406119,1157.0,0.0025189975,0.9802459180355072,533.967826,-0.0038479506,0.014466664,624.603759765625,240000,160
241500,380,0.9948215,22.443222,1500.0,0.0011164265,0.9571101367473602,761.442257,-0.002153612,0.005733334,628.5427474975586,241500,161
243000,387,0.95689046,13.865724,1471.0,0.0036839505,0.9637888334691525,781.992018,-0.0046428354,0.014466661,632.4151723384857,243000,162
244500,397,0.9300647,18.739222,1500.0,0.0019598468,0.9561102986335754,882.050654,-0.0010443273,0.012133334,636.1904408931732,244500,163
246000,394,0.93910676,19.120417,1500.0,0.003366514,0.9531782530248165,866.040863,-0.0022055428,0.041199986,639.9917032718658,246000,164
247500,388,0.9687064,22.534775,1500.0,0.0008673338,0.9413732215762138,908.521835,-0.00082493486,0.0029333332,643.8563477993011,247500,165
249000,397,1.0212251,19.45423,1500.0,0.00043309017,0.967090554535389,845.334777,-0.0007239343,0.0006666667,647.6286602020264,249000,166
250500,396,0.98985064,20.077337,1500.0,0.0010838537,0.9555482491850853,769.314966,-0.0026648066,0.0032666659,651.4163212776184,250500,167
252000,391,1.0335108,19.49569,1500.0,0.0026141056,0.9640251882374287,855.248918,-0.0022858188,0.021266663,655.2457666397095,252000,168
253500,386,0.99804956,20.280607,1500.0,0.0052172565,0.9629500731825829,808.829119,-0.0038328632,0.059666656,659.1318488121033,253500,169
255000,392,1.000843,19.78724,1500.0,0.0025695688,0.9548395164310932,783.167553,-0.005399162,0.015933331,662.9519853591919,255000,170
256500,389,1.0236897,17.793627,1500.0,0.000813766,0.9692190829664469,857.892346,-0.0020503374,0.0007333334,666.8076190948486,256500,171
258000,393,1.0651759,20.54492,1500.0,0.0031558827,0.9628412164747715,751.746377,-0.001102073,0.048666663,670.6182134151459,258000,172
259500,390,1.0526096,19.797651,1500.0,0.0024415758,0.9449238404631615,837.22966,-0.005598722,0.011666665,674.4614515304565,259500,173
261000,391,0.97230226,18.835619,1500.0,0.0034601665,0.9638116843998432,907.696746,-0.0053207306,0.039199986,678.2957150936127,261000,174
262500,394,1.052243,17.05886,1500.0,0.0011657106,0.9407004378736019,795.533815,-0.001386109,0.0037999991,682.094690322876,262500,175
264000,392,0.9798031,18.089277,1500.0,0.002573691,0.9634226821362972,954.369698,-0.0046606814,0.015066669,685.9149765968323,264000,176
265500,392,0.9938015,18.834583,1500.0,9.6249285e-05,0.9636932760477066,776.966563,-0.00025794507,0.0,689.7397453784943,265500,177
267000,397,0.944659,19.906824,1500.0,0.003554188,0.9504610858857632,731.716197,-0.005160645,0.026466656,693.5174639225006,267000,178
268500,390,1.0756105,23.508154,1500.0,0.0012078205,0.9532238245010376,829.904087,-0.0021153605,0.008133332,697.3631463050842,268500,179
270000,396,1.0303594,20.350021,1500.0,0.00017345295,0.9605584219098091,719.649301,-0.00048706782,0.0,701.144047498703,270000,180
271500,380,0.9917982,20.276583,1500.0,0.0037234714,0.9519167691469193,790.268972,-0.0010752907,0.045799986,705.0832552909851,271500,181
273000,366,0.952832,18.850697,1500.0,0.0010736163,0.9566479660570621,931.151169,-0.0005814699,0.0006,709.1755697727203,273000,182
274500,383,0.9722792,17.494038,1500.0,0.00374625,0.966340184211731,868.527727,-0.0036207926,0.033799984,713.0839686393738,274500,183
