nupdates,total_timesteps,approxkl,policy_loss,value_loss,eplenmean,explained_variance,fps,serial_timesteps,eprewmean,time_elapsed,clipfrac,policy_entropy
92,188416,0.009861301,-0.005113456,14.336438,817.0,0.7175893485546112,301,188416,84.19,607.3812403678894,0.119384766,1.0179675
93,190464,0.008015709,4.225881e-05,31.72253,831.43,0.6472246944904327,305,190464,87.57,614.0761775970459,0.10429688,1.0079352
94,192512,0.009754354,-0.0032606467,15.070478,838.48,0.7848562002182007,322,192512,90.71,620.4338643550873,0.13759765,1.0918533
95,194560,0.019028299,0.00032281867,0.15107894,849.35,0.7758475095033646,293,194560,89.94,627.4121124744415,0.21591797,0.91340864
96,196608,0.008196879,0.0011483917,18.045986,854.67,0.6536615788936615,314,196608,90.42,633.9155516624451,0.1128418,1.1450613
97,198656,0.0036221645,-0.0020406346,15.485478,863.86,0.6014413237571716,292,198656,92.2,640.9264914989471,0.03852539,0.9697073
98,200704,0.015933558,-0.0037675067,1.2509257,868.81,0.8094472438097,312,200704,92.42,647.4707243442535,0.1909668,1.0550439
99,202752,0.007094105,-0.0016701868,9.699144,869.38,0.5961137413978577,282,202752,91.58,654.7160620689392,0.09511719,0.7867805
100,204800,0.003597102,-0.0015830066,9.707006,836.82,0.5991572141647339,270,204800,91.49,662.2882902622223,0.036621094,0.73462015
101,206848,0.015559526,-0.0042744717,1.0362455,840.34,0.8023227453231812,299,206848,91.79,669.1341252326965,0.18349609,1.0090721
102,208896,0.0108037805,-0.003184646,14.0265,839.8,0.6877160668373108,316,208896,91.79,675.6080303192139,0.13374023,0.99099064
103,210944,0.0050483355,-0.0046283356,31.441204,840.09,0.7281428575515747,303,210944,97.7,682.3512194156647,0.056933593,1.0573208
104,212992,0.007085532,-0.0026167266,19.38044,845.6,0.6924360990524292,293,212992,97.39,689.3200259208679,0.09350586,1.0615572
105,215040,0.006991939,-0.001742073,18.23669,855.94,0.6532013416290283,289,215040,102.17,696.4061708450317,0.09287109,1.1177247
106,217088,0.006399037,-0.0065826676,11.439737,855.6,0.7945630550384521,298,217088,107.98,703.2634201049805,0.08676758,1.0612284
107,219136,0.0071684695,-0.0026909988,29.173452,861.19,0.6250387132167816,310,219136,109.77,709.8493232727051,0.08681641,1.0495878
108,221184,0.009537308,-0.005805503,10.5164585,864.92,0.6466166079044342,296,221184,115.01,716.7590055465698,0.1303711,0.8943534
109,223232,0.006709809,-0.006591705,16.86781,858.28,0.769713506102562,303,223232,115.36,723.5152425765991,0.09082031,1.0221626
110,225280,0.006953161,-0.0037250556,18.690748,854.74,0.7970158755779266,306,225280,122.44,730.2015099525452,0.06586914,1.0077064
111,227328,0.004583168,-0.0035612236,19.716839,843.74,0.7639956623315811,282,227328,122.76,737.4579348564148,0.04423828,1.1203438
112,229376,0.008680149,-0.0022736783,9.931833,830.72,0.8221405893564224,301,229376,124.49,744.2527885437012,0.11850586,1.0450698
113,231424,0.015895043,-0.004143575,0.12201424,841.05,0.6754730939865112,310,231424,124.49,750.8465864658356,0.21445313,1.1465094
114,233472,0.0053448887,-0.0023339936,8.332383,834.78,0.629179060459137,291,233472,121.76,757.8619432449341,0.05722656,0.9842869
115,235520,0.007377729,-0.0023884312,18.843178,830.81,0.6623243391513824,298,235520,119.38,764.7278881072998,0.10869141,1.0811517
116,237568,0.0048048007,-0.0035403739,4.6073565,832.12,0.6015865802764893,279,237568,119.12,772.0592646598816,0.054882813,0.9356489
117,239616,0.0073130606,-0.0032226066,21.588535,836.52,0.703226238489151,284,239616,122.68,779.2695336341858,0.103076175,1.0561391
118,241664,0.014455539,-0.005643457,0.35001576,830.09,0.6190301775932312,307,241664,115.95,785.9259128570557,0.19243164,1.0372732
119,243712,0.014126956,-0.011828342,0.87133884,818.77,0.7442778944969177,281,243712,114.45,793.2077157497406,0.16108398,1.0960704
120,245760,0.008198235,-0.003945246,18.207193,834.24,0.6652626991271973,298,245760,116.63,800.0734438896179,0.107421875,1.0956975
121,247808,0.010612075,-0.000987545,11.40204,840.65,0.7153035402297974,284,247808,117.66,807.2771832942963,0.12368164,1.0550799
122,249856,0.013005708,-0.002471606,0.11659938,847.05,0.6825413703918457,298,249856,115.12,814.1312198638916,0.19418946,1.052414
123,251904,0.0054811426,-0.0022928128,13.819715,856.35,0.718647837638855,289,251904,115.05,821.1978619098663,0.04921875,1.1291271
124,253952,0.012901312,-0.004150769,0.23256595,847.6,0.5838942229747772,285,253952,111.53,828.3708066940308,0.15908203,0.9753639
125,256000,0.011099016,-0.0044931592,11.838553,845.4,0.6323288381099701,312,256000,113.13,834.9158501625061,0.14658204,1.1555004
126,258048,0.009376999,-0.002674881,6.106145,852.71,0.6843950748443604,312,258048,114.26,841.479154586792,0.13759765,1.1027896
127,260096,0.0052520363,-0.005418186,14.042158,866.18,0.5420064330101013,307,260096,116.77,848.1480588912964,0.037109375,1.2525661
128,262144,0.008081419,-0.002800716,9.374756,877.76,0.7624978274106979,295,262144,117.32,855.0731575489044,0.1140625,1.2178525
129,264192,0.009695536,-0.006852302,8.334718,876.19,0.6838078498840332,303,264192,117.47,861.8289015293121,0.14492187,1.2225678
130,266240,0.006718695,-0.0051166913,34.647346,876.13,0.6883895397186279,309,266240,124.05,868.4482886791229,0.07714844,1.2602732
131,268288,0.008438125,-0.0053061666,35.387997,867.94,0.5891821682453156,296,268288,124.64,875.3624289035797,0.119384766,1.1783501
132,270336,0.01125714,-0.008342372,24.631626,870.08,0.46183907985687256,321,270336,125.49,881.7405254840851,0.14033203,1.2068218
133,272384,0.0077467496,-0.00539279,12.276907,877.64,0.7211859822273254,325,272384,127.98,888.0356693267822,0.08901367,1.2442815
134,274432,0.005274076,-0.0045405,16.329119,876.93,0.6374149322509766,304,274432,127.05,894.7624318599701,0.05415039,1.2820348
135,276480,0.009339514,-0.0053473925,11.242826,881.99,0.6980196833610535,298,276480,127.43,901.6193511486053,0.14301758,1.1450318
136,278528,0.006604745,-0.0010774964,21.6947,873.37,0.6804446280002594,310,278528,124.89,908.2142205238342,0.071826175,1.293166
137,280576,0.01093234,-0.0020512748,19.41888,869.71,0.7674826830625534,315,280576,126.37,914.7146289348602,0.14750977,1.2116436
138,282624,0.007532536,-0.002494548,10.947727,851.28,0.6119163334369659,312,282624,123.19,921.2648205757141,0.08110352,1.3454039
139,284672,0.010368109,-0.0042621554,7.4996705,863.19,0.5697150230407715,311,284672,123.78,927.8380768299103,0.14130859,1.247834
140,286720,0.00766904,-0.0049283416,7.7124305,855.72,0.7200550138950348,337,286720,125.73,933.9129567146301,0.08564453,1.3053846
141,288768,0.006434931,-0.000665884,19.090435,861.45,0.7199641466140747,314,288768,126.07,940.4300620555878,0.07504883,1.2648888
142,290816,0.009202826,-0.0036560583,17.170319,874.45,0.7369136810302734,299,290816,131.21,947.2577347755432,0.12338867,1.2547691
143,292864,0.016166985,-0.008778764,10.911326,878.35,0.7824479341506958,316,292864,133.96,953.7371768951416,0.19213867,1.1755903
144,294912,0.01796913,-0.0049156114,2.96031,884.96,0.5636902451515198,293,294912,133.52,960.704244852066,0.254834,1.2552203
145,296960,0.019461121,-0.00816053,8.012101,888.0,0.8400929272174835,293,296960,135.17,967.6932125091553,0.2477539,1.2404598
146,299008,0.009468662,-0.0026858195,0.102880314,889.16,0.656220406293869,304,299008,128.64,974.4108765125275,0.12114258,1.3170811
147,301056,0.020717764,-0.007517676,8.807703,900.57,0.8433216065168381,304,301056,126.79,981.1480007171631,0.19794922,1.312461
148,303104,0.007991965,-0.0047678715,12.728903,894.9,0.6056795716285706,313,303104,124.59,987.6836338043213,0.08222656,1.2652781
149,305152,0.009587308,-0.0030913544,1.6115522,897.64,0.822487473487854,292,305152,120.96,994.6784238815308,0.11860351,1.2707921
