nupdates,serial_timesteps,time_elapsed,fps,value_loss,policy_entropy,approxkl,explained_variance,policy_loss,total_timesteps,eprewmean,eplenmean,clipfrac
73,109500,289.26356196403503,389,57.545113,0.9778852,0.00035163388,0.9063964262604713,-0.0005949319,109500,635.340706,1500.0,6.666667e-05
74,111000,293.0934407711029,391,19.939566,0.7908568,0.004191528,0.9514582604169846,-0.0023331698,111000,865.65609,1500.0,0.037933342
75,112500,297.03227257728577,380,43.897213,0.8328751,0.0004439228,0.8889760747551918,-0.0006690269,112500,820.870475,1500.0,0.0
76,114000,300.8442611694336,393,44.64014,0.90130645,0.0059455363,0.9142625704407692,-0.004958196,114000,822.100729,1500.0,0.07026668
77,115500,304.6275210380554,396,53.318512,1.0128331,0.0007510571,0.9059482291340828,-0.0005015161,115500,690.863462,1500.0,0.009000001
78,117000,308.4192306995392,395,43.894943,0.8516522,0.0006028375,0.919814445078373,-0.00043626528,117000,794.931683,1500.0,0.0
79,118500,312.29272055625916,387,20.506035,0.9634685,0.0020895568,0.9648814350366592,-0.0035880646,118500,753.64993,1500.0,0.013
80,120000,316.36729192733765,368,27.286083,0.804224,0.0013782766,0.9408395104110241,-0.0005240054,120000,722.287247,1500.0,0.0054
81,121500,320.2114200592041,390,19.95896,0.8334133,0.0021472196,0.9609044529497623,-0.000811996,121500,854.043934,1500.0,0.0112
82,123000,324.10261130332947,385,21.181808,1.0166597,0.0024754193,0.9600726217031479,-0.00251905,123000,830.237173,1500.0,0.02453333
83,124500,327.95384430885315,389,19.442453,0.8391778,0.0021326067,0.964913122355938,-0.0014118003,124500,864.831382,1500.0,0.030066663
84,126000,331.8104064464569,388,21.988064,0.9916933,0.0015906246,0.965811375528574,-0.00096315786,126000,785.258641,1500.0,0.007866666
85,127500,335.6108772754669,394,22.219078,1.0465856,0.0017887126,0.9575680829584599,-0.0022042864,127500,814.407915,1500.0,0.0012
86,129000,339.547057390213,381,25.731073,0.8700112,0.0010874608,0.9493583850562572,-8.8079265e-05,129000,766.938989,1500.0,0.0014
87,130500,343.64291644096375,366,22.125076,0.9442757,0.0013872988,0.9659502357244492,-0.0019846535,130500,781.398114,1500.0,0.005733333
88,132000,347.609002828598,378,19.954033,0.9451455,0.012138728,0.9660294577479362,-0.007418822,132000,809.586147,1500.0,0.22753328
89,133500,351.5225374698639,383,21.077436,0.9062262,0.00065736903,0.9665181189775467,-0.0013469725,133500,771.106659,1500.0,6.666667e-05
90,135000,355.3417775630951,392,21.820738,0.9265393,0.0031179658,0.9604942835867405,-0.0019414471,135000,783.55675,1500.0,0.032399997
91,136500,359.2035245895386,388,19.157219,0.79702,0.004402416,0.9632192775607109,-0.0039663375,136500,881.195464,1500.0,0.022599993
92,138000,363.11747574806213,383,441.8979,0.8073996,0.00010095138,0.5612595975399017,0.0002878714,138000,889.68109,1331.0,0.0
93,139500,366.9982714653015,386,18.992403,0.79131377,0.007066496,0.9693198259919882,-0.008650751,139500,889.186992,1500.0,0.08906667
94,141000,370.8363242149353,390,27.609026,0.96181726,0.00012592475,0.9502042755484581,-0.00017000081,141000,705.744324,1500.0,0.0
95,142500,374.82186222076416,376,4281.411,0.98704576,0.00011746175,0.158713698387146,-0.0006750939,142500,2031.941122,1500.0,0.0
96,144000,379.1095209121704,349,167.68275,0.936078,0.00027959511,0.6620400249958038,-0.0008677135,144000,721.018389,1322.0,0.0
97,145500,383.29662108421326,358,22.975452,0.8162833,0.004345525,0.9585330113768578,-0.0022569755,145500,815.814754,1500.0,0.021533325
98,147000,387.2669675350189,377,24.390905,0.95578176,0.0006387828,0.9594470784068108,-0.0004652773,147000,775.906282,1500.0,0.0
