eplenmean,policy_loss,clipfrac,time_elapsed,fps,nupdates,policy_entropy,value_loss,eprewmean,explained_variance,serial_timesteps,total_timesteps,approxkl
806.02,-0.00092142395,0.010133332,3206.2369158267975,385,783,0.6501843,6.898329,74.56789134000002,0.753594696521759,1174500,1174500,0.0012187597
819.04,-0.0024886755,0.025199985,3210.078816175461,390,784,0.65114176,4.5982366,77.72022285000001,0.7592923790216446,1176000,1176000,0.002783189
830.22,-0.00011795545,0.013533329,3213.965203523636,385,785,0.70904136,3.291845,79.63904162,0.8136971145868301,1177500,1177500,0.0016062824
828.71,-0.0065681515,0.07193329,3218.780377149582,311,786,0.97334707,2.159931,79.32087048,0.8877256289124489,1179000,1179000,0.005033007
839.86,-0.0010624649,0.015266666,3222.6915924549103,383,787,0.5623378,4.5842514,81.37920422,0.6689909100532532,1180500,1180500,0.0014801086
852.86,-0.0020938332,0.07899995,3226.5251953601837,391,788,0.64723504,1.028139,82.67000803,0.7882305085659027,1182000,1182000,0.004305504
852.86,-0.0021164254,0.05286664,3230.300197124481,397,789,0.61924154,2.350081,82.26925206,0.7741430252790451,1183500,1183500,0.0030832805
855.61,-0.0034170256,0.06366663,3234.177743911743,386,790,0.8370659,1.7341723,82.41080981,0.8693864047527313,1185000,1185000,0.0052530854
866.7,-0.0028989466,0.053466633,3238.038324356079,388,791,0.61054975,2.8022285,83.48630849999999,0.7091719508171082,1186500,1186500,0.0041291933
864.59,-0.0033582477,0.07086663,3243.041608095169,299,792,0.9268636,2.0345545,82.69776109,0.6891794502735138,1188000,1188000,0.0065150275
876.53,8.0114405e-05,0.015799997,3246.874677658081,391,793,0.46505657,3.725153,84.66713454,0.7809112519025803,1189500,1189500,0.0014654463
875.39,-0.0019578415,0.044599988,3251.0621638298035,358,794,0.6008033,4.2500787,85.69153576000001,0.7829601019620895,1191000,1191000,0.0047858655
863.45,-0.0048323427,0.13006665,3254.9568967819214,385,795,0.8601333,0.5671037,83.87258412,0.9513513408601284,1192500,1192500,0.010558107
849.78,-0.004277662,0.073933296,3259.807586669922,309,796,0.86763215,2.9085848,80.07948826,0.8769185021519661,1194000,1194000,0.0059506614
850.28,-0.0074542398,0.13473335,3264.469335794449,321,797,0.9715705,0.4986561,80.28411890999999,0.8525671660900116,1195500,1195500,0.013818647
828.64,-0.0021358966,0.08033329,3268.9896824359894,331,798,0.8335554,1.3522267,76.83991339,0.856539323925972,1197000,1197000,0.006065192
840.66,-0.0006221847,0.07993329,3272.841359615326,389,799,0.69263184,1.4535753,77.22097426,0.9449326023459435,1198500,1198500,0.005467226
839.98,-0.00833253,0.13440001,3277.137629032135,349,800,0.90070826,0.44341424,76.90526719999998,0.7666461765766144,1200000,1200000,0.011589395
830.97,-0.0025787666,0.09739999,3281.336032152176,357,801,0.7531698,4.1767263,76.57369548,0.7428696155548096,1201500,1201500,0.0065838774
834.83,-0.0046851947,0.12866662,3285.8680720329285,331,802,0.9200103,1.763214,77.81369551,0.8197360187768936,1203000,1203000,0.012104128
842.42,0.0006701413,0.11800007,3289.7007081508636,391,803,0.9174816,2.288665,78.65732431,0.8692043721675873,1204500,1204500,0.0096687665
842.42,-0.00060072565,0.11926669,3293.5867013931274,386,804,1.0218918,1.2194263,78.81982928,0.7925746887922287,1206000,1206000,0.009440188
846.52,-0.0016183283,0.09173332,3297.4394359588623,389,805,0.8358089,7.200054,81.05682492,0.582759290933609,1207500,1207500,0.0064098216
844.8,-0.00044894445,0.13153337,3301.7474637031555,348,806,0.8535379,1.5757098,81.01058324,0.8654579967260361,1209000,1209000,0.011856723
848.7,-0.0030667793,0.069999956,3305.636718273163,385,807,0.94033706,2.908581,81.26207274000001,0.8233356475830078,1210500,1210500,0.005812768
863.34,-0.0023763499,0.04879997,3310.167891263962,331,808,0.8564872,2.7602835,83.83463111,0.7875533550977707,1212000,1212000,0.0046345918
873.7,-0.001171189,0.13000003,3314.3007650375366,362,809,1.0518647,0.7202753,84.18089646,0.7543982565402985,1213500,1213500,0.011947747
868.43,-0.0076627578,0.13733335,3318.864844083786,328,810,0.85682386,0.86020887,84.21521279000001,0.8369782119989395,1215000,1215000,0.01336076
847.0,-0.003845099,0.10106665,3323.546710252762,320,811,0.8865143,0.704189,84.66570156,0.8760756179690361,1216500,1216500,0.009781608
853.65,-0.003456021,0.13713337,3327.3726963996887,392,812,1.0238743,2.8240912,85.13889982999999,0.8100311011075974,1218000,1218000,0.008799362
865.89,-0.007505961,0.1342667,3331.8640015125275,334,813,1.1367108,0.88266295,86.75645796,0.8133402317762375,1219500,1219500,0.009487014
