total_timesteps,eprewmean,approxkl,value_loss,serial_timesteps,explained_variance,policy_loss,fps,eplenmean,time_elapsed,nupdates,policy_entropy,clipfrac
150000,530.31,0.00012720801,24.479403,150000,0.9583635553717613,-0.0015170205,373,1372.72,400.9025411605835,100,1.044571,0.0
151500,534.12,4.36752e-05,25.157629,151500,0.9573770277202129,-0.00030052612,374,1372.72,404.91173911094666,101,1.0068902,0.0
153000,535.46,1.6263286e-05,28.624395,153000,0.9480143152177334,-3.8737377e-05,379,1369.96,408.86753964424133,102,1.0317723,0.0
154500,539.25,1.1276059e-06,35.27811,154500,0.9437570869922638,1.0402478e-05,352,1369.05,413.1253535747528,103,0.8532634,0.0
156000,545.02,9.987452e-06,25.16574,156000,0.9424981512129307,-0.00010645209,378,1369.05,417.092604637146,104,1.1089911,0.0
157500,542.88,1.2188425e-05,23.878696,157500,0.9407335557043552,-0.00010639319,378,1365.01,421.05996537208557,105,0.6671685,0.0
159000,548.07,0.00019134035,20.260859,159000,0.96003183349967,-0.0009897818,378,1365.01,425.0279686450958,106,1.0044682,0.0
160500,547.16,7.1787974e-05,29.317043,160500,0.9273664802312851,-0.00020415623,336,1362.4,429.4805326461792,107,1.0339543,0.0
162000,548.39,1.04066785e-05,26.106987,162000,0.9385174736380577,-6.875422e-05,368,1362.4,433.5493745803833,108,1.1002027,0.0
163500,551.49,3.1134692e-05,21.105707,163500,0.9688520897179842,-0.00022511357,373,1362.4,437.5717988014221,109,0.9856213,0.0
165000,551.3,6.7466362e-06,31.574017,165000,0.9335176944732666,-0.00012132644,374,1362.4,441.57666420936584,110,1.0251011,0.0
166500,552.7,1.6959058e-05,19.066963,166500,0.9693266209214926,-0.00024164963,369,1362.4,445.6319432258606,111,1.0448036,0.0
168000,555.21,1.2388897e-05,23.765108,168000,0.9574281834065914,-0.00020598699,367,1362.4,449.7189667224884,112,0.9493743,0.0
169500,554.53,2.1036127e-05,33.420563,169500,0.9406697526574135,-0.00020715506,381,1362.2,453.64920020103455,113,0.95542127,0.0
171000,549.73,2.0018399e-05,34.06544,171000,0.9257876053452492,-0.00020570542,387,1361.07,457.51667976379395,114,0.9743312,0.0
172500,550.93,7.543762e-05,28.361225,172500,0.937620684504509,-0.00042127696,390,1361.07,461.35860204696655,115,0.9815691,0.0
174000,550.24,7.673542e-06,20.549118,174000,0.958035122603178,-0.00010482335,391,1361.07,465.18683767318726,116,1.0276104,0.0
175500,547.1,6.1431824e-06,40.435104,175500,0.9293239340186119,-7.857914e-05,347,1357.84,469.506986618042,117,0.95894575,0.0
177000,551.44,8.547812e-05,23.966587,177000,0.9510875642299652,-0.0007000269,390,1360.33,473.35221123695374,118,1.0260377,0.0
178500,555.35,0.00015210955,25.798851,178500,0.9420392103493214,-0.0011112918,370,1361.79,477.3958258628845,119,1.0638899,0.0
180000,555.31,8.089564e-06,24.8549,180000,0.9505101963877678,-0.00012085777,378,1361.31,481.36265754699707,120,0.6198661,0.0
181500,555.97,1.5839581e-05,25.347385,181500,0.958448302000761,-0.00011787273,387,1363.0,485.2322509288788,121,0.9831248,0.0
183000,553.86,8.118664e-05,22.381948,183000,0.9624255076050758,-0.00081098033,377,1362.66,489.2078204154968,122,0.9795824,0.0
184500,549.67,1.6166288e-05,23.116278,184500,0.9502259865403175,-0.00027842599,390,1358.64,493.05433177948,123,0.88484794,0.0
186000,550.51,0.00015003755,21.936657,186000,0.9660644941031933,-0.001318631,373,1358.64,497.0697114467621,124,1.0066856,0.0
187500,543.78,5.0962994e-06,44.707016,187500,0.921310693025589,-4.7165354e-06,334,1353.37,501.5532991886139,125,0.80905694,0.0
189000,537.19,9.6184536e-05,24.050434,189000,0.9375198222696781,-0.0004893567,360,1347.54,505.7134394645691,126,0.61818564,0.0
190500,537.6,0.00017596404,25.508179,190500,0.9550554342567921,-0.0013001341,377,1349.79,509.6871166229248,127,0.9648097,0.0
192000,526.36,1.562751e-05,43.638603,192000,0.9162045121192932,-0.0003019346,352,1344.17,513.9438683986664,128,0.8552774,0.0
193500,526.47,7.819051e-06,24.083471,193500,0.9476471617817879,-8.3048995e-05,373,1344.17,517.9600539207458,129,1.0303246,0.0
195000,523.38,6.983244e-05,21.141169,195000,0.9609761200845242,-0.0006719818,387,1344.17,521.8330335617065,130,1.0491568,0.0
196500,516.88,2.2029195e-05,22.016724,196500,0.95493583381176,-0.0001534567,390,1340.97,525.672425031662,131,0.7473938,0.0
198000,517.24,1.5662074e-05,24.3181,198000,0.9458976089954376,-0.00027778654,375,1340.6,529.6636979579926,132,0.9225129,0.0
199500,520.8,2.5658028e-05,22.580185,199500,0.9632050730288029,-0.00014529616,384,1342.55,533.5698425769806,133,0.9950588,0.0
201000,523.81,1.9675905e-05,23.32174,201000,0.9505563303828239,-0.0001353188,371,1348.22,537.6102063655853,134,0.9911771,0.0
202500,520.02,7.027314e-05,43.683475,202500,0.920885257422924,-0.0004021942,345,1343.04,541.9518558979034,135,0.9228144,0.0
204000,514.02,9.699688e-06,21.225653,204000,0.944333404302597,-0.00015689577,382,1338.94,545.8730435371399,136,0.6351445,0.0
205500,513.42,3.5797224e-05,24.52609,205500,0.9602312594652176,-0.0004443929,387,1335.82,549.7464897632599,137,0.9637907,0.0
207000,509.21,2.0532154e-05,18.943321,207000,0.9593478105962276,-0.0004570407,358,1332.74,553.9261608123779,138,1.0577402,0.0
208500,514.91,4.6627697e-06,34.25523,208500,0.9432970024645329,-0.00013172306,317,1334.33,558.6444931030273,139,0.9420067,0.0
210000,521.45,5.55227e-06,22.848963,210000,0.9524569697678089,-2.3932767e-05,364,1337.99,562.7579276561737,140,1.0857952,0.0
211500,521.31,2.1534375e-05,16.23943,211500,0.946761004626751,-0.00031763315,368,1335.99,566.8262746334076,141,0.52327895,0.0
