eprewmean,policy_loss,total_timesteps,nupdates,clipfrac,eplenmean,approxkl,fps,policy_entropy,explained_variance,serial_timesteps,time_elapsed,value_loss
6.3150093,-0.00059840136,76000,38,0.0023,22.016666666666666,0.00058221875,740,0.85117865,-0.1323251724243164,38000,101.47094440460205,7.510141
6.284944663333334,-0.00028248047,78000,39,0.0,21.886666666666667,0.0001394955,739,0.86641175,-0.14391040802001953,39000,104.17697262763977,8.16531
6.3208592433333335,-0.00072925276,80000,40,0.0008,21.893333333333334,0.0002813349,742,0.8424059,-0.1368858814239502,40000,106.8709921836853,8.006026
6.269335843333334,-0.00059886556,82000,41,0.0002,21.833333333333332,0.0005107197,746,0.81786287,-0.13632047176361084,41000,109.54994177818298,8.664504
6.229188963333334,-0.00021829683,84000,42,0.0,22.113333333333333,0.00020708381,748,0.7854927,-0.09224677085876465,42000,112.2225272655487,8.563146
6.0725370566666665,-0.0011877255,86000,43,0.0071000005,22.366666666666667,0.0012960621,756,0.7497394,-0.07198524475097656,43000,114.86783981323242,7.506908
5.8248982966666665,-0.0013352314,88000,44,0.008899999,23.166666666666668,0.0012671715,755,0.6833073,-0.07117187976837158,44000,117.5162308216095,7.4140716
5.6176682966666664,-0.00020290432,90000,45,0.0,23.756666666666668,6.959911e-05,764,0.68156046,-0.11086606979370117,45000,120.13190197944641,7.939579
6.133694883333333,-0.0011231435,92000,46,0.0112999985,24.416666666666668,0.0010432785,768,0.71252555,-0.07857692241668701,46000,122.73601245880127,5.629263
6.1048138100000005,-0.00082587136,94000,47,0.0007999999,24.1,0.0002843628,749,0.7640771,-0.07823896408081055,47000,125.40546798706055,8.22879
6.50755832,-3.418779e-05,96000,48,0.0,23.766666666666666,0.00018383254,759,0.72916794,-0.09275603294372559,48000,128.03939247131348,5.7451243
6.578602643333333,-0.00031537825,98000,49,0.0011999999,23.526666666666667,0.00040794804,759,0.7462931,-0.07849526405334473,49000,130.67345905303955,7.530638
