#{"t_start": 1532959683.9465976, "env_id": "SetDown-v2"}
r,l,t
10,22,38.045637
10,33,38.120669
10,21,38.172132
10,17,38.222595
-0.918284,21,38.276885
10,19,38.326949
10,33,38.410387
-5.627447,28,38.475447
-1.342682,21,38.529305
10,15,38.566297
10,34,38.653342
10,24,38.717056
10,16,38.75616
-2.227047,18,38.802512
-4.494079,19,38.849856
10,25,38.910243
10,22,38.964965
10,28,39.031199
10,25,39.091021
-3.529986,21,39.145003
-3.973024,20,39.197852
10,20,39.245479
10,21,39.304771
-4.402495,12,39.336048
-0.450786,31,39.416007
10,34,39.494797
-5.009465,24,39.555014
10,27,39.621088
-1.826702,15,39.65809
10,22,39.715256
10,21,39.774543
-0.055358,14,39.811762
10,15,39.851545
-3.169163,12,39.880532
-1.879706,20,39.930007
10,25,39.990598
-1.460896,23,40.051255
10,21,40.103746
-0.098141,35,40.187799
-4.928515,22,40.24733
-1.942423,22,40.30344
10,16,40.343598
-2.339047,15,40.388101
-1.026788,27,40.602443
-5.368475,22,40.657878
10,24,40.720294
10,17,40.764706
10,19,40.815262
10,20,40.876894
10,24,40.940019
10,24,41.002162
10,17,41.047046
10,13,41.084824
10,25,41.149094
10,23,41.20911
10,34,41.28846
10,27,41.356564
-3.888792,33,41.437957
-2.267949,11,41.465777
-12.602701,22,41.518331
-9.854441,12,41.547798
10,26,41.609194
10,22,41.665821
10,29,41.738144
10,19,41.788677
10,27,41.85726
-2.219242,21,41.910841
-1.236407,16,41.952035
10,19,42.000919
10,14,42.0348
-0.047867,26,42.096337
10,18,42.145326
-8.477764,23,42.200621
-2.952127,35,42.287647
10,23,42.345671
10,22,42.400666
10,28,42.468805
10,24,42.530206
-4.190867,22,42.583599
-0.416016,18,42.629801
-2.393881,19,42.67786
-0.229344,24,42.740167
-0.136708,17,42.785418
10,21,42.837952
-0.027516,19,42.886578
10,20,42.937378
10,18,42.983911
10,19,43.031897
10,33,43.107739
-2.020153,29,43.326985
10,20,43.37991
10,15,43.419272
-4.270785,14,43.45724
-2.990653,24,43.518823
10,18,43.567271
10,23,43.627708
10,29,43.70046
10,20,43.745729
-0.047362,33,43.828118
10,30,43.90105
10,24,43.963192
10,33,44.043032
10,17,44.083439
-10.613445,16,44.125714
10,16,44.167765
10,26,44.234076
10,18,44.280921
10,23,44.334811
10,22,44.390066
10,32,44.468665
10,23,44.529552
-0.337364,15,44.569586
10,21,44.622956
10,16,44.667814
-0.943903,21,44.722035
10,18,44.769716
10,19,44.826557
-0.054514,25,44.888358
-0.228665,23,44.943735
10,32,45.014517
10,24,45.076265
10,19,45.127615
10,21,45.182188
10,41,45.273216
-6.083936,21,45.324822
10,25,45.383451
10,34,45.46619
10,31,45.542224
10,28,45.610697
10,28,45.687496
-2.074287,26,45.750901
10,16,45.945108
-1.873253,22,46.000541
10,13,46.037997
10,24,46.097861
10,16,46.135448
10,29,46.211708
-4.457655,21,46.269267
10,28,46.336971
10,26,46.404147
10,19,46.449161
10,20,46.500108
10,16,46.541441
10,21,46.594621
-4.460541,42,46.695912
-0.287246,21,46.749755
10,24,46.810355
10,19,46.85882
-0.78369,17,46.903438
10,24,46.963068
-0.967001,33,47.043705
10,18,47.09119
10,19,47.143375
10,24,47.203855
-0.987408,34,47.288943
10,21,47.346241
10,35,47.427233
10,22,47.482235
10,16,47.526203
10,38,47.6088
10,29,47.677294
10,17,47.720864
10,31,47.795525
10,33,47.871818
-0.452741,29,47.945531
10,19,47.996637
-0.123439,20,48.048791
-2.043231,18,48.09798
-0.581927,19,48.151231
10,20,48.200365
10,27,48.26327
-1.469163,25,48.325792
10,21,48.380209
-1.930784,13,48.416015
10,24,48.621574
-0.159622,20,48.677069
10,27,48.743725
10,20,48.796327
-11.582304,24,48.861198
10,26,48.927206
-0.035554,26,48.991158
10,23,49.052433
10,25,49.114003
-0.641869,33,49.194342
10,23,49.250268
10,30,49.327046
10,27,49.396156
10,22,49.452276
10,22,49.505903
10,33,49.588481
10,29,49.667889
10,23,49.725002
-0.574513,31,49.799612
-1.878127,25,49.858014
10,37,49.950337
-0.75983,25,50.00689
-6.373032,18,50.061385
-0.723117,19,50.112972
10,13,50.147055
10,27,50.212145
-2.595924,22,50.273059
10,28,50.338762
10,22,50.393666
10,19,50.441304
-0.918806,27,50.512089
10,30,50.584212
10,14,50.621931
-0.888305,25,50.680191
10,22,50.733615
10,28,50.806454
10,17,50.854895
10,21,50.909796
-2.643706,17,50.951358
10,23,51.014694
-0.842101,22,51.07132
10,28,51.292408
-5.586467,19,51.341393
10,20,51.391821
10,17,51.437097
10,20,51.489259
10,22,51.553505
10,16,51.600407
10,22,51.661755
10,22,51.719243
10,24,51.785768
10,32,51.865013
10,18,51.910316
10,24,51.967362
-3.239842,28,52.038924
10,20,52.090449
-4.991576,15,52.132007
-1.619242,20,52.185386
10,23,52.241654
-11.896249,22,52.296628
10,11,52.325366
-5.383943,20,52.376613
-8.156921,16,52.419517
-13.373737,14,52.459673
10,20,52.506823
10,24,52.567813
10,39,52.663699
10,31,52.730901
-0.003822,18,52.775408
10,16,52.816448
-1.001586,21,52.86478
-2.489358,20,52.922109
10,30,52.998919
10,14,53.036837
10,19,53.084269
10,27,53.158921
10,14,53.193984
10,23,53.256978
10,18,53.303939
10,21,53.355305
10,21,53.408604
10,14,53.447131
-29.348452,14,53.480816
10,33,53.557359
10,13,53.594468
-5.511504,32,53.672557
10,26,53.742517
10,31,53.818083
10,23,54.024021
-4.255993,22,54.084636
10,26,54.157032
10,19,54.207828
10,22,54.266902
10,23,54.323902
10,18,54.370674
10,29,54.441021
10,35,54.532104
10,14,54.566857
10,17,54.612112
10,28,54.686385
10,19,54.731605
10,28,54.804308
10,31,54.878558
-0.294701,16,54.918826
10,27,54.986289
10,23,55.041021
10,28,55.114864
-4.857551,16,55.162301
10,28,55.226449
10,21,55.284835
-3.459543,17,55.331526
-0.295596,20,55.381399
10,23,55.439714
10,21,55.491388
10,24,55.552953
10,19,55.602161
-3.012772,27,55.673898
10,32,55.751323
-2.857548,21,55.806367
10,23,55.864713
-2.272431,24,55.929817
10,19,55.978044
10,21,56.033006
-3.487023,20,56.084162
-2.958799,22,56.134494
10,16,56.178692
10,17,56.223217
10,18,56.271228
10,18,56.317994
10,16,56.359718
-5.017326,38,56.45395
-5.033574,19,56.504784
10,36,56.741127
-2.566652,24,56.801914
10,23,56.858847
10,34,56.935756
10,18,56.984848
10,25,57.057305
10,21,57.108379
10,23,57.172052
10,16,57.21777
10,26,57.278321
-4.925663,21,57.330222
-3.842796,17,57.371963
10,30,57.444187
-5.106479,21,57.500291
-0.017316,32,57.572849
10,27,57.633535
10,16,57.67634
10,38,57.76201
10,28,57.834728
10,22,57.896152
-1.022723,18,57.941891
-1.376927,15,57.977312
-1.449113,21,58.032324
10,14,58.070841
10,35,58.16068
-8.15302,14,58.19645
10,22,58.251115
10,29,58.321123
-0.349508,21,58.376252
10,31,58.451811
10,28,58.51696
-1.870859,19,58.566966
10,25,58.630187
10,32,58.709031
-7.933882,17,58.75208
-2.640933,25,58.812275
-0.546259,24,58.875593
-16.253666,14,58.912735
-0.872521,22,58.965436
10,28,59.032474
10,38,59.123187
10,23,59.171968
10,25,59.384046
10,24,59.446132
-4.804004,17,59.489517
10,29,59.552575
10,26,59.631939
10,24,59.695656
10,15,59.732103
10,20,59.782306
10,30,59.853043
10,16,59.89507
10,20,59.945343
-10.696168,15,59.984105
10,23,60.039102
10,23,60.096071
-0.326381,19,60.145452
10,23,60.204509
10,24,60.268464
-0.122849,27,60.334746
10,18,60.383982
-0.970809,27,60.448441
10,17,60.492754
-2.220979,20,60.542495
-2.289972,21,60.598006
10,26,60.662475
-0.933361,28,60.732415
-1.813443,20,60.782296
-0.805974,31,60.861835
-1.380623,17,60.90282
10,17,60.9472
10,28,61.014188
10,25,61.073509
10,23,61.130369
10,19,61.180956
10,25,61.244656
10,32,61.327563
10,30,61.399371
-1.415397,23,61.453803
10,14,61.492347
-0.287602,18,61.53815
10,18,61.580193
-0.064224,31,61.65733
-2.656396,27,61.717013
10,35,61.806438
10,20,61.857958
10,24,62.063929
10,25,62.126212
-1.967276,22,62.182793
10,47,62.304575
10,13,62.342606
10,27,62.402699
-4.204263,36,62.491857
10,29,62.55843
-2.983655,23,62.616361
-3.340447,21,62.672197
10,24,62.735921
10,33,62.821915
-0.945055,17,62.8638
-5.121943,13,62.900054
10,20,62.952254
10,26,63.017842
10,20,63.069296
-10.136932,20,63.119571
10,26,63.187306
-11.351736,18,63.235884
10,19,63.285958
-1.150619,14,63.321121
10,24,63.380195
10,25,63.441476
-1.357667,15,63.481482
10,18,63.526878
10,15,63.569848
10,17,63.616443
-2.134132,26,63.678671
10,26,63.743046
10,19,63.790599
10,17,63.836325
-1.643452,26,63.903486
10,41,64.005062
-5.972619,11,64.038146
10,33,64.116217
10,32,64.191211
10,15,64.232922
-1.784111,20,64.284737
10,26,64.348568
10,16,64.391156
10,23,64.453553
10,20,64.505322
10,19,64.553804
10,16,64.742383
10,22,64.798542
-0.379524,31,64.873873
10,16,64.917128
-0.282783,23,64.979233
10,28,65.054868
-5.759253,16,65.097593
-5.568275,23,65.149301
10,23,65.213149
10,29,65.286679
-0.010117,26,65.343385
10,18,65.390332
10,25,65.455899
10,39,65.54884
-2.237536,21,65.606592
10,22,65.665836
10,36,65.7574
10,28,65.827813
10,35,65.918605
10,22,65.976179
10,31,66.049127
10,22,66.107157
10,16,66.153632
10,16,66.19986
10,26,66.263364
10,20,66.312429
-1.052753,24,66.372077
10,22,66.426896
10,31,66.501888
10,22,66.558208
10,26,66.622635
-0.297172,24,66.683116
10,19,66.732706
10,34,66.815496
-0.514032,30,66.887892
10,24,66.947527
-4.361524,17,66.989326
-2.255783,26,67.053373
-7.914871,16,67.09533
10,26,67.152795
10,19,67.200575
10,23,67.406799
10,23,67.4648
10,33,67.546831
10,23,67.60465
10,19,67.660271
10,29,67.731854
10,37,67.817263
10,19,67.86491
10,23,67.920049
10,15,67.961706
-20.648864,19,68.012172
10,18,68.058259
10,16,68.098248
-0.377971,24,68.157449
10,17,68.207372
10,27,68.271784
10,17,68.317147
10,23,68.378488
10,28,68.444628
-2.84012,18,68.491691
10,22,68.549909
10,11,68.57873
-10.175725,18,68.626862
-0.099518,23,68.685392
10,20,68.734944
-8.911503,11,68.763706
10,22,68.823573
-1.362956,20,68.872119
10,27,68.938203
-0.540346,19,68.987834
10,18,69.033649
10,16,69.071458
10,16,69.113683
10,14,69.152564
10,22,69.212956
10,30,69.286374
10,26,69.350027
10,15,69.390017
10,20,69.440693
10,25,69.503845
10,26,69.567021
10,30,69.641991
10,36,69.727874
10,30,69.806801
-6.021355,20,69.856469
10,28,70.074984
10,30,70.147054
10,30,70.218688
10,18,70.261448
-2.415489,27,70.337803
-0.63675,32,70.423271
-3.759613,21,70.475212
10,16,70.514998
10,36,70.610062
10,15,70.647479
10,20,70.702224
10,26,70.769586
10,18,70.810756
10,19,70.861967
10,35,70.95069
-1.587804,29,71.021286
10,43,71.129406
-2.375319,25,71.196016
-3.493444,26,71.260983
10,32,71.333823
-0.114288,23,71.391161
10,20,71.439116
10,31,71.518462
10,26,71.584405
10,24,71.644213
10,24,71.703216
10,26,71.763708
-7.594574,13,71.802726
-0.877378,23,71.86143
-0.720635,22,71.91869
10,30,71.992288
10,20,72.042556
10,21,72.102325
-2.912625,25,72.166789
10,16,72.210733
10,20,72.255062
10,22,72.307785
10,14,72.342397
10,25,72.402867
10,21,72.460431
10,32,72.534553
-0.423259,16,72.574836
10,24,72.781723
-0.129301,11,72.809302
10,18,72.856449
10,19,72.903615
10,20,72.954231
10,25,73.027621
10,21,73.085037
10,23,73.145844
10,16,73.190764
-0.361814,13,73.224002
-1.041028,22,73.278473
10,18,73.325838
10,14,73.364836
10,20,73.411016
10,18,73.458291
10,24,73.516001
10,26,73.582387
-1.353909,22,73.63618
10,23,73.697011
10,18,73.7391
10,26,73.8004
-1.215079,19,73.855958
-0.369036,13,73.888247
10,20,73.942082
10,22,73.996074
-6.583228,15,74.034131
10,25,74.102667
10,27,74.172696
-6.635582,23,74.230608
-1.391863,26,74.297444
-4.277617,17,74.343175
-2.928093,18,74.393473
10,18,74.441799
10,25,74.506075
10,36,74.590321
-4.347559,32,74.671327
-0.128068,23,74.727252
10,17,74.77013
10,12,74.800158
10,24,74.860441
10,18,74.90942
10,24,74.972136
10,30,75.045793
-11.404867,16,75.086359
10,24,75.144996
-2.995413,31,75.223054
10,21,75.279199
-0.98827,28,75.49545
10,30,75.571081
-6.693453,25,75.632596
10,24,75.696218
10,26,75.762338
-4.323123,14,75.796613
10,31,75.877053
-2.031934,19,75.925584
10,17,75.965352
10,11,75.997546
10,20,76.048958
-0.419204,28,76.11959
-0.028102,27,76.187663
10,22,76.243794
10,26,76.30864
-3.751601,21,76.360304
10,21,76.407782
10,19,76.455375
10,20,76.508862
10,26,76.578356
-2.788979,21,76.631427
-3.058328,13,76.662813
10,33,76.745612
10,34,76.82952
-4.839708,16,76.865709
10,23,76.924041
10,21,76.971797
-8.13781,14,77.010563
10,18,77.058047
10,22,77.11372
10,20,77.166286
-0.17397,30,77.241024
10,29,77.308697
10,36,77.398347
-0.599946,22,77.456609
10,38,77.547401
10,28,77.612698
-0.039745,27,77.682334
10,33,77.76685
10,19,77.819525
10,21,77.873717
10,25,77.934605
-11.618929,16,78.12142
-2.365958,21,78.170359
10,20,78.221906
-7.467234,24,78.281055
10,29,78.363199
10,23,78.429354
10,23,78.486299
10,24,78.545925
10,19,78.595539
10,33,78.674307
10,31,78.753212
10,34,78.833568
10,19,78.88183
10,28,78.946253
10,14,78.97877
10,19,79.028496
10,24,79.087792
10,19,79.136109
10,23,79.187153
10,17,79.234574
10,17,79.28309
10,24,79.342175
10,21,79.39433
10,27,79.462996
10,27,79.528042
-0.985211,34,79.60791
10,24,79.665467
10,18,79.712667
10,35,79.795645
10,28,79.860321
10,25,79.920397
10,21,79.970687
10,12,80.006052
10,28,80.07234
-9.13977,25,80.129211
10,28,80.197215
-6.070259,21,80.250938
10,19,80.300627
10,25,80.355489
10,19,80.405952
-2.718766,24,80.464643
-14.461493,12,80.492972
10,18,80.533905
10,19,80.730254
10,30,80.803695
10,25,80.867341
10,22,80.922704
10,21,80.976383
10,27,81.047925
10,24,81.105348
10,22,81.161314
-4.538215,25,81.218072
10,16,81.261333
10,16,81.298298
10,22,81.352262
-4.11127,23,81.410572
10,21,81.463368
10,26,81.527734
10,28,81.597907
10,19,81.647696
10,40,81.740411
10,16,81.784004
-4.677393,20,81.832668
10,17,81.872773
10,37,81.962753
10,16,82.007859
10,24,82.066931
-0.743476,23,82.126052
10,27,82.192847
-0.845401,27,82.258042
-0.25367,19,82.306064
10,31,82.378767
10,38,82.468163
10,37,82.554012
10,32,82.635199
10,24,82.69277
10,27,82.760452
10,23,82.81869
10,25,82.880193
-0.003536,23,82.93543
10,26,82.998077
10,24,83.057128
10,18,83.103064
10,22,83.157931
-2.97672,33,83.386481
10,22,83.442422
10,20,83.494036
10,22,83.54919
10,24,83.616215
10,23,83.679447
10,31,83.759169
10,23,83.818859
10,26,83.882128
10,29,83.956637
-9.160871,18,83.997051
10,23,84.053088
-2.94613,21,84.106248
10,25,84.171556
10,19,84.22013
10,13,84.258765
10,20,84.309181
10,18,84.355773
10,15,84.394201
10,21,84.448836
10,25,84.510793
10,17,84.555968
10,22,84.609172
-11.697595,14,84.642996
10,36,84.73072
-5.065189,18,84.778967
10,21,84.832822
10,18,84.878889
10,24,84.942274
10,21,84.99165
-11.336442,21,85.041682
10,28,85.108652
10,24,85.172741
10,14,85.207983
10,22,85.262934
-1.618495,27,85.327839
-4.104668,17,85.370298
10,21,85.429075
10,25,85.490577
-0.01889,19,85.544978
-0.540249,26,85.606114
-4.45108,18,85.65512
10,25,85.716344
10,24,85.772355
10,16,85.816131
-1.042837,27,85.880337
10,15,86.063311
10,22,86.115702
10,22,86.170922
-7.320264,20,86.223216
10,33,86.314662
-9.546865,17,86.358246
10,25,86.419042
