serial_timesteps,total_timesteps,nupdates,eprewmean,value_loss,approxkl,explained_variance,policy_loss,clipfrac,eplenmean,time_elapsed,fps,policy_entropy
165000,330000,165,6.804260596,6.3528132,0.0002523367,0.1433369517326355,-0.00091873686,0.00029999999,23.379,402.18987798690796,824,0.64873433
166000,332000,166,6.797692516750001,5.1664433,0.0015016763,0.22835975885391235,-0.0013854163,0.012099999,23.38825,404.61362767219543,825,0.61203504
167000,334000,167,6.76603408275,10.783187,0.00011366131,0.19326448440551758,-0.00014153906,0.0,23.39375,406.9915659427643,841,0.5711051
168000,336000,168,6.80075533025,5.8625026,0.001629543,0.14830458164215088,-0.0016714074,0.015699998,23.4575,409.3949990272522,832,0.57482517
169000,338000,169,6.85180017525,3.7423103,0.00013005006,0.20203328132629395,-0.00053182547,0.0,23.50525,411.7957797050476,833,0.5986518
170000,340000,170,6.87277267575,3.9421139,0.0015301817,0.22790485620498657,-0.0034795445,0.023199994,23.6115,414.1491537094116,850,0.5989792
171000,342000,171,6.9320444825,2.231053,0.0029283212,0.10835438966751099,-0.0032830012,0.03819999,23.63775,417.11674785614014,674,0.67245847
172000,344000,172,7.0175957767499995,1.8382705,0.001077508,0.2209896445274353,-0.00056910247,0.012499997,23.5895,419.66755080223083,784,0.72490907
173000,346000,173,7.007937627,3.4069479,0.0008602398,0.129743754863739,-0.0014048925,0.0113,23.6115,422.34189462661743,748,0.6896599
174000,348000,174,7.01546557425,5.0020614,0.00024669262,0.1984717845916748,-0.0002439848,0.0,23.57475,424.8959844112396,783,0.7137419
175000,350000,175,6.97131723225,5.272511,0.00032359894,0.15770763158798218,-0.0003145027,0.0,23.47975,427.2979130744934,833,0.6930381
176000,352000,176,7.04626860375,2.9616303,0.001397102,0.14117634296417236,-0.0011048119,0.018399999,23.41075,429.77502727508545,807,0.76996875
177000,354000,177,7.06175785425,5.773684,0.00092779065,0.15162479877471924,-0.00088741287,0.0018,23.35575,432.2581830024719,805,0.7268897
178000,356000,178,7.0535843822499995,3.3025405,0.0004962554,0.2617844343185425,-0.00044609568,0.0035000003,23.28825,435.09323620796204,705,0.7006789
179000,358000,179,7.0049726145,6.1176133,0.00056870264,0.17152810096740723,-0.00031417087,0.0047999998,23.27425,438.01347494125366,685,0.74896204
180000,360000,180,6.991846639749999,5.7599797,0.0022221894,0.10053181648254395,-0.0016542427,0.018099999,23.24925,440.727739572525,737,0.71312803
