serial_timesteps,total_timesteps,value_loss,time_elapsed,nupdates,clipfrac,fps,policy_loss,explained_variance,policy_entropy,approxkl,eprewmean,eplenmean
112500,112500,22.799664,308.817480802536,75,0.031133326,380,-0.0009625061,0.9588643535971642,1.0017943,0.0021298414,778.365483,1500.0
114000,114000,19.675417,312.8695240020752,76,0.012866665,370,-0.0004753572,0.9630335457623005,0.95598716,0.0022423088,829.75702,1500.0
115500,115500,4.5801144,316.7088553905487,77,0.026466656,390,-0.003143612,0.9932632520794868,0.89877015,0.002807699,745.655372,1240.0
117000,117000,22.253061,320.5641779899597,78,0.0466,389,-0.0017209733,0.9652240239083767,0.9904676,0.0036601445,795.163031,1500.0
118500,118500,4.0729313,324.44397044181824,79,0.029066658,386,-0.003082848,0.9927665200084448,1.0468487,0.0038888846,626.080023,1263.0
120000,120000,21.89575,328.3743534088135,80,0.007933332,381,-0.0004794126,0.9557649940252304,1.0176191,0.002383711,837.094479,1500.0
121500,121500,19.768652,332.25491738319397,81,0.10093336,386,-0.0036473628,0.9411260560154915,0.9770074,0.0066934424,856.256328,1500.0
123000,123000,20.402716,336.16703367233276,82,0.017333334,383,-0.0023916413,0.9680346734821796,0.91794723,0.0024811917,994.879168,1500.0
124500,124500,21.622498,340.1147220134735,83,0.0078,380,-0.0014749224,0.9473623335361481,1.0747963,0.0014428309,783.757593,1500.0
126000,126000,18.91223,344.07412791252136,84,0.018399995,378,-0.0012042559,0.948149811476469,1.0191245,0.002917886,935.201232,1500.0
127500,127500,21.186516,347.9427056312561,85,0.08066665,387,-0.0031947666,0.955860324203968,0.88713384,0.0050034206,910.018496,1500.0
129000,129000,22.61205,351.85297107696533,86,0.035799988,383,-0.0031451369,0.9572086855769157,0.95556587,0.0038047307,794.672723,1500.0
130500,130500,22.108679,355.7600202560425,87,0.0072666667,383,-0.0015597515,0.9482666999101639,0.9804597,0.0016488737,738.510775,1500.0
132000,132000,21.209185,359.6540915966034,88,0.009266666,385,-0.0027912604,0.9506194852292538,0.8853553,0.0017024969,793.937211,1500.0
133500,133500,20.14906,363.519268989563,89,0.028466657,388,-0.003112782,0.9653653427958488,0.96682173,0.003869407,805.380405,1500.0
