steps,episode,episode steps,reward,loss,mse,mean_q,test episode,test reward,test steps,test steps(s)
19933/500000,137,94,-90.471,16.110125,15.184897,-0.282157,137,-9.197,415,172
20022/500000,138,89,-90.87,25.216158,20.509884,-0.15578,138,5.349,358,149
20433/500000,139,411,67.31,33.518528,26.679264,-0.258188,139,14.544,354,106
20484/500000,140,51,-96.163,25.388975,21.590883,-0.404226,140,-12.702,285,201
20586/500000,141,102,-90.725,31.373741,25.594734,-0.324566,141,22.361,380,87
20665/500000,142,79,-93.955,35.492989,28.38232,-0.349698,142,-64.958,200,101
20771/500000,143,106,-89.65,29.554808,24.696266,-0.286284,143,33.008,516,116
20986/500000,144,215,-56.985,32.352207,26.496458,-0.26315,144,-56.422,179,110
21109/500000,145,123,-80.311,31.876213,26.064419,-0.264407,145,-52.829,212,201
21178/500000,146,69,-93.44,27.144567,22.884916,-0.247959,146,170.229,812,132
21284/500000,147,106,-87.489,28.111532,23.75202,-0.197848,147,-88.112,109,119
21419/500000,148,135,-84.77,32.486202,26.858393,-0.260066,148,-0.926,254,139
21554/500000,149,135,-75.761,33.620689,28.006128,-0.273619,149,161.665,844,193
21641/500000,150,87,-92.988,37.830635,30.915976,-0.438513,150,-6.171,341,197
21879/500000,151,238,-37.688,29.829485,25.147453,-0.238955,151,-34.999,272,125
22225/500000,152,346,-14.825,26.115974,22.491722,-0.147911,152,324.218,1002,130
22325/500000,153,100,-88.831,30.389664,25.789431,-0.301313,153,-46.244,236,121
22654/500000,154,329,-30.536,31.737545,26.235838,-0.263204,154,-3.476,404,104
22765/500000,155,111,-88.908,19.497282,18.10829,-0.218014,155,77.921,654,85
22888/500000,156,123,-84.634,25.566319,21.976521,-0.07319,156,-48.12,265,165
22956/500000,157,68,-94.746,30.734802,25.557276,-0.226579,157,-57.442,168,201
23009/500000,158,53,-95.783,32.098747,27.487873,-0.396093,158,-79.165,146,151
23072/500000,159,63,-95.86,48.978359,38.56987,-0.556172,159,-36.943,266,135
23258/500000,160,186,-21.398,22.895668,20.394228,-0.216786,160,-63.37,201,101
23421/500000,161,163,-51.695,33.975681,28.134708,-0.218246,161,-93.376,74,122
23476/500000,162,55,-95.45,39.647778,32.361877,-0.301262,162,-54.907,196,139
23691/500000,163,215,-56.563,28.123936,24.23863,-0.303813,163,-8.769,440,172
23783/500000,164,92,-90.862,34.474831,28.394381,-0.299039,164,-67.039,149,128
23872/500000,165,89,-91.796,22.506357,20.14753,-0.201953,165,-79.379,136,187
23962/500000,166,90,-89.054,32.094662,26.581207,-0.134785,166,135.576,881,116
24027/500000,167,65,-93.608,28.573181,24.342903,-0.244378,167,-85.344,121,201
24278/500000,168,251,-58.367,29.210115,24.681746,-0.259202,168,82.916,726,201
24390/500000,169,112,-88.514,35.66925,29.195963,-0.329798,169,38.852,587,96
24828/500000,170,438,7.897,30.355614,25.711161,-0.359415,170,-75.237,148,168
24887/500000,171,59,-95.791,28.683214,24.135401,-0.409117,171,-71.356,122,121
24992/500000,172,105,-80.949,40.190559,32.719883,-0.541112,172,-94.076,66,85
25089/500000,173,97,-89.926,41.074268,33.140839,-0.532771,173,97.926,669,159
25165/500000,174,76,-92.355,26.320139,23.246147,-0.440031,174,205.309,940,135
25272/500000,175,107,-89.771,30.336565,25.606354,-0.372946,175,-82.264,128,201
25337/500000,176,65,-94.996,39.886066,32.101643,-0.4044,176,29.906,488,93
25503/500000,177,166,-73.628,26.4347,22.878965,-0.323239,177,55.84,496,127
25626/500000,178,123,-81.176,26.40086,23.001854,-0.32981,178,113.63,592,174
25696/500000,179,70,-93.683,21.899267,19.857969,-0.149188,179,-61.502,178,147
25793/500000,180,97,-89.121,29.616621,25.309099,-0.229681,180,-67.643,112,116
25937/500000,181,144,-78.865,21.378204,19.640764,-0.17885,181,-70.172,180,109
25996/500000,182,59,-95.092,10.66625,11.591874,0.075306,182,19.267,480,123
26262/500000,183,266,-43.876,31.8487,26.238846,-0.246465,183,-59.731,204,143
26558/500000,184,296,-11.744,35.28196,28.791042,-0.382198,184,-69.531,148,84
26688/500000,185,130,-54.267,34.339546,28.882845,-0.287557,185,96.062,750,77
26825/500000,186,137,-74.811,35.392899,29.832426,-0.29451,186,-0.621,426,109
26924/500000,187,99,-89.841,34.93314,29.26428,-0.326697,187,60.088,481,124
27054/500000,188,130,-85.093,26.170172,23.09988,-0.281777,188,-37.184,316,156
27175/500000,189,121,-85.866,38.304146,31.085674,-0.28501,189,-63.243,159,170
27343/500000,190,168,-63.391,32.888359,28.055918,-0.40994,190,-68.579,189,201
27816/500000,191,473,37.827,31.626112,27.37711,-0.330226,191,-66.644,160,146
27886/500000,192,70,-94.525,25.699442,24.37311,-0.37041,192,-6.563,385,76
28053/500000,193,167,-61.325,33.099579,28.782812,-0.183427,193,-72.728,123,175
28332/500000,194,279,-31.388,31.67301,28.037804,-0.203445,194,48.027,402,164
28845/500000,195,513,105.684,26.29851,24.979406,-0.173396,195,-52.504,256,201
28978/500000,196,133,-79.314,29.176636,26.965368,-0.298692,196,-16.309,367,138
29238/500000,197,260,10.766,33.349678,30.065123,-0.342391,197,5.273,409,91
29447/500000,198,209,-35.413,29.098745,27.160278,-0.241479,198,-58.295,185,147
29604/500000,199,157,-60.41,33.1217,29.54763,-0.242224,199,90.535,783,201
30018/500000,200,414,67.977,30.790897,28.322365,-0.290452,200,-9.725,315,201
30114/500000,201,96,-90.566,32.488674,30.976259,-0.452875,201,-89.439,85,112
30347/500000,202,233,-34.237,33.260983,30.82263,-0.374732,202,-35.395,311,201
30516/500000,203,169,-64.8,25.365171,26.157108,-0.297855,203,-78.687,125,116
30590/500000,204,74,-93.211,24.005072,25.493645,-0.195147,204,-84.273,112,201
30757/500000,205,167,-74.69,29.72444,29.419374,-0.341765,205,-87.835,104,201
31014/500000,206,257,-50.993,28.867498,28.890205,-0.332759,206,-6.043,316,163
31274/500000,207,260,-12.29,25.652481,26.606565,-0.169197,207,-88.486,101,96
31566/500000,208,292,-33.473,28.205132,28.604078,-0.275268,208,-44.812,219,101
31704/500000,209,138,-77.741,27.613194,28.874544,-0.324378,209,12.948,415,137
31810/500000,210,106,-83.282,38.433353,36.39819,-0.392588,210,-43.667,235,201
31884/500000,211,74,-93.796,25.99823,27.188217,-0.262635,211,-71.674,181,111
31982/500000,212,98,-90.512,29.32472,29.642717,-0.165381,212,-57.863,218,63
32103/500000,213,121,-75.157,27.958191,29.058527,-0.211254,213,-79.217,128,201
32486/500000,214,383,-2.669,24.554125,26.43154,-0.148676,214,-70.344,169,128
32534/500000,215,48,-96.153,14.731285,19.843214,-0.178884,215,266.686,1002,201
32619/500000,216,85,-92.449,31.304052,31.320654,-0.224809,216,-42.443,237,105
32808/500000,217,189,-39.365,28.202908,29.561253,-0.220896,217,-89.188,99,125
32918/500000,218,110,-79.484,36.337696,36.33123,-0.406481,218,-16.302,335,201
33120/500000,219,202,-38.415,25.302361,28.466185,-0.241707,219,-87.29,112,111
33203/500000,220,83,-92.165,32.769005,33.616264,-0.335165,220,22.879,478,116
33301/500000,221,98,-88.67,27.436184,29.954809,-0.296655,221,-87.421,96,201
33431/500000,222,130,-82.242,26.462488,28.68297,-0.185311,222,-61.73,198,75
