mode,reward,step,vel,action
monkey,-7.477,1,0,1
monkey,-28.804,1,0,1
monkey,-28.166,1,0,1
monkey,-8.917,1,0,1
monkey,-38.914,1,0,1
monkey,-1.539,1,0,1
monkey,-103.363,1,0,1
monkey,-0.501,1,0,1
monkey,-18.985,1,0,1
monkey,-80.179,1,0,1
monkey,-30.282,1,0,1
monkey,-20.216,1,0,1
monkey,-1.326,1,0,1
monkey,-10.509,1,0,1
monkey,-3.033,1,0,1
monkey,-12.02,1,0,1
monkey,-0.949,1,0,1
monkey,-2.973,1,0,1
monkey,-33.269,1,0,1
monkey,-4.997,1,0,1
monkey,-18.362,1,0,1
monkey,-84.265,1,0,1
monkey,-0.346,1,0,1
monkey,-2.891,1,0,1
monkey,-18.189,1,0,1
monkey,-36.152,1,0,1
monkey,-25.718,1,0,1
monkey,-45.632,1,0,1
monkey,-39.221,1,0,1
monkey,-76.421,1,0,1
monkey,-19.117,1,0,1
monkey,-9.252,1,0,1
monkey,-0.21,1,0,1
monkey,-55.068,1,0,1
monkey,-3.124,1,0,1
monkey,-50.866,1,0,1
monkey,-27.426,1,0,1
monkey,-8.796,1,0,1
monkey,-17.68,1,0,1
monkey,-39.14,1,0,1
monkey,-4.23,1,0,1
monkey,-0.175,1,0,1
monkey,-65.66,1,0,1
monkey,-88.379,1,0,1
monkey,-0.243,1,0,1
monkey,-1.057,1,0,1
monkey,-8.474,1,0,1
monkey,-24.184,1,0,1
monkey,-98.879,1,0,1
monkey,-9.296,1,0,1
monkey,-39.256,1,0,1
monkey,-17.709,1,0,1
monkey,-27.028,1,0,1
monkey,-4.874,1,0,1
monkey,-36.059,1,0,1
monkey,-11.291,1,0,1
monkey,-71.617,1,0,1
monkey,-37.022,1,0,1
monkey,-11.163,1,0,1
monkey,-6.893,1,0,1
monkey,-94.857,1,0,1
monkey,-19.358,1,0,1
monkey,-20.546,1,0,1
monkey,-65.359,1,0,1
monkey,-9.658,1,0,1
monkey,-9.037,1,0,1
monkey,-8.261,1,0,1
monkey,-28.162,1,0,1
monkey,-41.607,1,0,1
monkey,-3.644,1,0,1
monkey,-12.299,1,0,1
monkey,-0.409,1,0,1
monkey,-34.88,1,0,1
monkey,-57.5,1,0,1
monkey,-0.224,1,0,1
monkey,-17.949,1,0,1
monkey,-9.073,1,0,1
monkey,-57.075,1,0,1
monkey,-0.129,1,0,1
monkey,-117.306,1,0,1
monkey,-1.763,1,0,1
monkey,-19.878,1,0,1
monkey,-6.386,1,0,1
monkey,-1.371,1,0,1
monkey,-52.394,1,0,1
monkey,-96.512,1,0,1
monkey,-47.861,1,0,1
monkey,-119.054,1,0,1
monkey,-0.776,1,0,1
monkey,-5.197,1,0,1
monkey,-33.093,1,0,1
monkey,-93.781,1,0,1
monkey,-1.656,1,0,1
monkey,-0.949,1,0,1
monkey,-30.822,1,0,1
monkey,-50.906,1,0,1
monkey,-0.063,1,0,1
monkey,-0.454,1,0,1
monkey,-54.543,1,0,1
monkey,-45.124,1,0,1
monkey,-36.312,1,0,1
monkey,-25.028,1,0,1
monkey,-0.217,1,0,1
monkey,-9.974,1,0,1
monkey,-36.326,1,0,1
monkey,-128.225,1,0,1
monkey,-125.413,1,0,1
monkey,-3.702,1,0,1
monkey,-2.155,1,0,1
monkey,-28.481,1,0,1
monkey,-34.948,1,0,1
monkey,-18.171,1,0,1
monkey,-60.934,1,0,1
monkey,-36.636,1,0,1
monkey,-2.117,1,0,1
monkey,-53.261,1,0,1
monkey,-6.171,1,0,1
monkey,-46.892,1,0,1
monkey,-15.244,1,0,1
