clipfrac,eplenmean,explained_variance,eprewmean,policy_loss,value_loss,fps,nupdates,approxkl,total_timesteps,policy_entropy,serial_timesteps,time_elapsed
0.0,1396.547619047619,0.9603342041373253,284.06124481746036,-0.00032625365,10.799753,373,118,0.00011000384,177000,1.2196022,177000,460.0987768173218
0.0,1397.3700787401574,0.8667201697826385,281.8245421023622,-0.00049435964,11.423768,340,119,0.000371113,178500,1.2428064,178500,464.51035165786743
0.07019999,1398.1796875,0.7311718761920929,279.6227878671875,-0.005011904,13.297747,393,120,0.0060110157,180000,1.335556,180000,468.3218741416931
0.00093333336,1398.9767441860465,0.9702815786004066,277.4551693565892,-0.0008396188,10.293941,370,121,0.00038571487,181500,1.0076851,181500,472.3662691116333
0.0,1397.6615384615384,0.9322120025753975,278.59652716153846,-0.0013015745,12.158551,393,122,0.00012132722,183000,1.2077322,183000,476.17899656295776
0.0,1396.7954545454545,0.9698232673108578,277.7264746818182,-0.00035268484,12.457758,363,123,5.6414283e-05,184500,0.8758356,184500,480.3074381351471
0.0,1395.5338345864661,0.9747274983674288,278.93073387969923,-0.00020224808,9.088875,399,124,3.3863325e-05,186000,0.91406953,186000,484.0637664794922
0.057866655,1396.3208955223881,0.8612505197525024,276.84916123880595,-0.002786459,9.254236,386,125,0.0038254417,187500,1.1729653,187500,487.9401295185089
0.0,1395.911111111111,0.9714425969868898,278.68907990370377,-0.00015174533,8.905582,391,126,0.0001580099,189000,0.9165554,189000,491.7670862674713
0.0,1394.4411764705883,0.9727281425148249,279.5436517794118,-0.0005418022,9.92265,397,127,6.7173496e-05,190500,0.95281386,190500,495.53705644607544
0.008933334,1393.036496350365,0.9574854224920273,280.61385916788316,-0.0017288235,9.676289,392,128,0.0018399842,192000,1.2241768,192000,499.3564565181732
0.0,1393.8188405797102,0.9810572545975447,278.5804254057971,-0.00063568907,7.023806,393,129,9.299415e-05,193500,0.9804066,193500,503.1682689189911
0.0,1392.928057553957,0.8837549090385437,279.9393116618705,-0.00048560806,11.91166,397,130,4.6895453e-05,195000,1.2769166,195000,506.94198274612427
0.105599985,1393.7,0.8434908241033554,277.93974514999996,-0.0034852668,7.6366515,399,131,0.0074545783,196500,1.2596217,196500,510.69334077835083
0.0,1394.1901408450703,0.9744071140885353,277.7445601056338,0.00014965232,9.452078,347,132,4.4377033e-05,198000,0.98495275,198000,515.0101869106293
0.0,1393.7342657342658,0.9760554805397987,279.40203799999995,-0.00032675723,8.49021,362,133,2.4852183e-05,199500,0.9062535,199500,519.1506230831146
0.03486667,1394.4791666666667,0.8739593178033829,277.4617460694445,-0.0019891616,7.4473004,378,134,0.0035732333,201000,1.2764162,201000,523.1101925373077
0.0,1394.5172413793102,0.9694851785898209,279.2203983793103,-0.00053706433,9.115477,372,135,0.00035057007,202500,0.9709427,202500,527.1421070098877
0.0012000002,1395.2465753424658,0.890824019908905,277.3079298972603,-0.0011008851,6.0147014,398,136,0.0010489218,204000,1.2099034,204000,530.9060759544373
0.0,1395.455782312925,0.9789561554789543,279.2041030272109,-0.00017707523,8.080421,402,137,1.8188597e-05,205500,0.9818646,205500,534.6332108974457
0.0,1396.1013513513512,0.9648682214319706,281.52079345945947,-0.00027401955,10.446563,402,138,2.3266051e-05,207000,1.1316048,207000,538.355806350708
0.014599999,1396.8053691275168,0.9009276703000069,279.67189071812084,-0.0011825728,6.1310472,380,139,0.001896175,208500,1.141618,208500,542.2946152687073
0.0,1397.2133333333334,0.9830800127238035,281.4855192466667,-0.00032855876,6.2804036,378,140,0.000193162,210000,1.00362,210000,546.255960226059
0.0,1393.2980132450332,0.9575385637581348,280.141491986755,-0.0003368261,15.906372,390,141,0.00013307038,211500,0.9834957,211500,550.0948526859283
0.0,1393.4013157894738,0.9459342285990715,282.17476627631584,-0.00033565552,10.066591,393,142,3.9999104e-05,213000,1.2571107,213000,553.9043591022491
0.072533324,1394.1045751633987,0.8036599010229111,280.33048675816997,-0.0044578966,5.64354,394,143,0.0050277244,214500,1.2377784,214500,557.7091040611267
0.0,1394.7987012987012,0.8063003569841385,278.51015892207795,-0.0011648331,5.396986,366,144,0.00043942634,216000,1.2055098,216000,561.8028478622437
0.0036000002,1395.483870967742,0.8314538300037384,276.71331918709683,-0.0030082585,5.057456,398,145,0.0023028576,217500,1.2746644,217500,565.5670785903931
0.08333329,1396.1602564102564,0.7849419414997101,274.9395158589744,-0.0032615669,5.308707,393,146,0.004731089,219000,1.2956744,219000,569.3784492015839
0.0050666668,1396.8280254777071,0.8491000384092331,273.1883087515924,-0.0013301839,5.285789,400,147,0.001737417,220500,1.2193048,220500,573.1241464614868
0.0006666667,1397.487341772152,0.7959349155426025,271.45926882278485,-0.001746968,4.700016,390,148,0.0008618661,222000,1.2318038,222000,576.9655613899231
0.0,1398.138364779874,0.9866623096168041,269.75197782389944,-0.00039892088,4.2124434,395,149,0.00031490455,223500,1.0284461,223500,580.7548770904541
0.0,1398.075,0.9552028514444828,271.56343029375,-0.00029754214,12.564474,392,150,1.4259177e-05,225000,1.0542932,225000,584.5731048583984
0.0,1398.7142857142858,0.9271821156144142,273.602425757764,-0.0003155613,6.2464886,394,151,8.262079e-05,226500,1.2800794,226500,588.3712158203125
0.0,1399.3456790123457,0.9745637699961662,272.34009256172845,-0.00047672464,8.382572,388,152,6.203601e-05,228000,1.0625,228000,592.2341065406799
0.1533333,1398.7791411042945,0.8083305507898331,273.7253441840491,-0.0073550176,3.3347902,398,153,0.008200636,229500,1.2478266,229500,595.9952917098999
0.012799997,1399.4024390243903,0.9066846519708633,272.0562872073171,-0.0012851793,3.208003,398,154,0.0022886894,231000,1.2121816,231000,599.7568497657776
0.023733329,1400.0181818181818,0.8729093968868256,270.40746122424247,-0.0023664378,2.736462,389,155,0.003986519,232500,1.2169706,232500,603.6102111339569
0.0,1400.6107784431138,0.9809094294905663,270.4907644491018,-0.00054576783,8.12652,367,156,0.00013292031,234000,0.8865478,234000,607.6921374797821
0.0,1401.2083333333333,0.9560465961694717,272.84310507142857,-0.000414477,11.700251,389,157,1.8149089e-05,235500,1.101428,235500,611.5425074100494
0.051799983,1401.7988165680474,0.8364608287811279,271.22864882840236,-0.0038363785,3.8469572,390,158,0.0051341597,237000,1.3317697,237000,615.3842031955719
0.010733329,1402.3823529411766,0.844679519534111,269.6331861882353,-0.0020342174,3.7168863,380,159,0.0033943215,238500,1.2470318,238500,619.3309488296509
0.0,1402.4561403508771,0.9754827190190554,271.49731333333335,-0.0010955356,9.365833,387,160,7.2733994e-05,240000,0.9872148,240000,623.20356798172
0.0,1399.5755813953488,0.934002973139286,270.53572236627906,-0.00068606046,14.112209,396,161,0.00021451461,241500,0.78385466,241500,626.989942073822
0.0,1399.9595375722542,0.9694530256092548,272.5910093699422,-0.0005405299,8.050504,393,162,0.00010066034,243000,1.2385602,243000,630.8029747009277
0.055533312,1400.5402298850574,0.7558692395687103,271.0243943735632,-0.0026273937,2.7844954,397,163,0.005094385,244500,1.2919574,244500,634.5763885974884
0.010066666,1401.1142857142856,0.7956364750862122,269.4756835485714,-0.00074048823,2.6934454,380,164,0.00400749,246000,1.3551571,246000,638.5151171684265
0.04833332,1401.6818181818182,0.7980646789073944,267.9445717102273,-0.0025425989,2.7136273,398,165,0.0047995476,247500,1.308217,247500,642.2765772342682
0.0,1402.2429378531074,0.843947023153305,266.4307605706215,-0.0007636132,2.4180822,387,166,0.0006661596,249000,1.2609186,249000,646.1472804546356
0.0069999998,1402.7977528089887,0.8262001276016235,264.93395854494383,-0.0019356088,2.716679,396,167,0.0018792738,250500,1.3254919,250500,649.9347105026245
0.0,1403.3463687150838,0.5509361028671265,263.96009989385476,-0.00023158826,4.2244773,398,168,0.00012314085,252000,1.2427514,252000,653.7034356594086
0.012933332,1403.888888888889,0.4075881242752075,262.86813266666667,-0.0017673958,4.5623264,393,169,0.0023025298,253500,1.2945781,253500,657.5140445232391
0.0014000002,1404.4254143646408,0.8045249134302139,261.41582254143646,-0.00070968515,1.5484775,368,170,0.0009203561,255000,1.2609135,255000,661.5827796459198
