nupdates,value_loss,total_timesteps,policy_entropy,clipfrac,eprewmean,policy_loss,explained_variance,serial_timesteps,approxkl,time_elapsed,fps,eplenmean
150,32.170753,307200,1.1800969,0.14267579,475.88,-0.004861627,0.9383774995803833,307200,0.010346396,906.3302557468414,334,886.75
151,15.601834,309248,1.182205,0.07758789,488.15,-0.0029793116,0.9749257508665323,309248,0.00786755,912.016518831253,360,900.63
152,38.68038,311296,1.2666848,0.074072264,496.94,-0.003812212,0.7704459726810455,311296,0.006236714,917.5105891227722,372,911.26
153,37.982903,313344,1.1426473,0.2099121,509.44,-0.0062820474,0.9232831671833992,313344,0.017865757,923.7823491096497,326,921.16
154,23.211475,315392,1.1159302,0.104003906,503.53,-0.006373491,0.9512549303472042,315392,0.009053869,930.1034026145935,324,922.03
155,29.448675,317440,1.3385818,0.08085938,507.39,-0.0055361437,0.8703654408454895,317440,0.0070187384,935.6578750610352,368,922.03
156,24.264675,319488,1.1372734,0.19990234,509.33,-0.0043735662,0.9690590333193541,319488,0.014307402,941.8944075107574,328,923.76
157,23.39673,321536,1.2172236,0.09624024,500.59,0.0005987734,0.963140144944191,321536,0.009296642,947.7943325042725,347,911.25
158,59.31922,323584,1.0845288,0.05620117,495.35,-0.0016634299,0.8878191411495209,323584,0.004776277,954.0180494785309,329,904.32
159,21.638609,325632,1.2038625,0.08955078,497.95,-0.0031173308,0.92341148853302,325632,0.007649676,959.5564248561859,369,905.79
160,19.589104,327680,1.2711565,0.095947266,509.98,-0.0017518227,0.8959088325500488,327680,0.007982283,965.0085785388947,375,916.4
161,65.62237,329728,1.1774564,0.10874023,515.22,-0.007242764,0.8492626994848251,329728,0.009948552,970.8645000457764,349,924.67
162,46.932846,331776,1.2158153,0.15473633,524.93,0.0027415007,0.9427390545606613,331776,0.012344113,976.3929159641266,370,937.27
163,33.11314,333824,1.1532677,0.17050782,525.11,-0.010217937,0.9621255174279213,333824,0.011176707,982.0130913257599,364,948.93
164,60.4797,335872,1.2163159,0.119824216,520.65,-0.008882628,0.8581290990114212,335872,0.009082119,987.9167680740356,346,960.85
165,26.081171,337920,1.3456159,0.1397461,531.41,-0.0071238987,0.78811414539814,337920,0.008478351,993.3779616355896,375,970.43
166,72.3836,339968,1.3240725,0.016210938,529.78,-0.001868075,0.6299370527267456,339968,0.0035354234,998.9314992427826,368,970.83
167,58.60915,342016,1.1940997,0.060009766,538.94,-0.0009596266,0.8388624638319016,342016,0.0057590585,1004.757655620575,351,987.03
168,60.126446,344064,1.2605352,0.041894533,540.28,-0.001178663,0.7846589833498001,344064,0.005481777,1010.3532702922821,366,992.81
169,83.03941,346112,1.1565423,0.057373047,543.6,-0.0008881128,0.7699650079011917,346112,0.0063565215,1016.2178750038147,349,1001.91
170,31.57352,348160,1.2345384,0.13530274,556.25,-0.005300342,0.8599727898836136,348160,0.00971661,1021.7801842689514,368,1014.11
171,67.83764,350208,1.0377843,0.21132812,560.84,0.0004589123,0.8842521831393242,350208,0.019721221,1027.5550196170807,354,1037.12
172,43.61891,352256,1.0112205,0.11987305,560.57,0.0013473763,0.89146938174963,352256,0.008631282,1033.1658327579498,365,1049.98
173,33.055725,354304,1.1163404,0.19394532,560.51,-0.008947937,0.8840474635362625,354304,0.011646612,1038.7336621284485,367,1061.95
174,66.251945,356352,1.0870714,0.059814453,560.3,-0.0050247787,0.8987371474504471,356352,0.006492206,1044.5673696994781,351,1082.89
175,30.153118,358400,1.1754934,0.0014648438,557.29,-0.0004967173,0.9268186315894127,358400,0.0010527248,1050.1152713298798,369,1091.87
176,40.600758,360448,1.1290032,0.18603516,559.51,-0.003498571,0.9223399460315704,360448,0.015246796,1055.6655886173248,369,1100.93
177,57.00108,362496,1.0320892,0.0045410157,559.24,-0.0008812867,0.8717128485441208,362496,0.004002874,1061.606651544571,344,1123.05
178,32.039444,364544,1.1585044,0.0,558.35,-0.0008826347,0.8288316130638123,364544,0.0007392802,1067.1576616764069,368,1123.05
179,53.422943,366592,1.1162193,0.123730466,558.06,0.001621286,0.8961053043603897,366592,0.00846159,1072.9819691181183,351,1136.67
180,18.956572,368640,0.95811814,0.14418945,548.46,-0.0017956914,0.8981860727071762,368640,0.011424949,1078.6284935474396,362,1136.67
181,25.817204,370688,1.1428533,0.17597656,547.83,-0.006099569,0.864515870809555,370688,0.011307312,1084.1410150527954,371,1148.89
182,23.091164,372736,1.0069187,0.1821289,533.94,-0.0045384713,0.8584230095148087,372736,0.011361048,1089.9886682033539,350,1155.5
183,23.33542,374784,1.0926286,0.15244141,532.42,-0.005969078,0.9404883682727814,374784,0.009923238,1095.5997655391693,365,1166.1
184,41.01161,376832,1.1359999,0.012451172,531.58,-0.00023846739,0.8689830750226974,376832,0.00262317,1101.1430339813232,369,1166.1
185,30.470652,378880,1.0372628,0.18720703,538.18,-0.003160081,0.9032848924398422,378880,0.015019603,1106.9882917404175,350,1192.01
186,29.797619,380928,1.0403678,0.06455078,539.31,-0.004960292,0.7492436766624451,380928,0.0073634135,1112.530975818634,369,1196.97
187,26.510464,382976,1.1597463,0.014257813,543.62,-0.0019324496,0.8864015340805054,382976,0.0024131774,1118.2228519916534,359,1198.8
188,55.047993,385024,1.1048921,0.02241211,553.19,-0.0037963882,0.8017179816961288,385024,0.0038608636,1124.083475112915,349,1200.9
189,64.68723,387072,1.1619632,0.040380858,557.19,-0.004626573,0.7928197532892227,387072,0.0055704154,1129.5968642234802,371,1213.35
190,78.36018,389120,1.1918019,0.0056152344,560.22,-0.0022904468,0.7560153156518936,389120,0.00210485,1135.4790897369385,348,1221.93
191,49.745216,391168,1.0147287,0.02241211,560.68,-0.0020441962,0.9024519547820091,391168,0.003364335,1141.0844547748566,365,1230.31
192,23.204252,393216,1.0587798,0.020898437,564.53,-0.0018336654,0.847847580909729,393216,0.0037611823,1146.7755398750305,359,1240.52
193,60.16117,395264,1.0795816,0.008056641,565.29,-0.00062897784,0.903048038482666,395264,0.0018979686,1152.7599959373474,342,1261.26
