eplenmean,nupdates,policy_entropy,value_loss,explained_variance,clipfrac,total_timesteps,fps,time_elapsed,serial_timesteps,policy_loss,eprewmean,approxkl
1497.986111111111,72,0.86442,0.09756435,0.7153721749782562,0.29520005,108000,385,283.28212571144104,108000,-0.010751193,0.40368119444444445,0.024532693
1498.027397260274,73,1.1670417,0.17826228,0.7597395479679108,0.12046668,109500,363,287.40913105010986,109500,-0.0039698402,0.39815131506849316,0.007974533
1498.0675675675675,74,1.1380801,0.14057884,0.5187802910804749,0.13960001,111000,387,291.2770085334778,111000,-0.0029776576,0.39277089189189185,0.009033515
1498.1066666666666,75,1.187716,0.19889666,0.2207428216934204,0.13613333,112500,360,295.43977522850037,112500,-0.0058276188,0.38753394666666663,0.009740746
1498.1447368421052,76,0.9255302,0.12626584,0.8270825147628784,0.18619996,114000,382,299.35931038856506,114000,-0.007979298,0.3824348157894737,0.012137153
1498.1818181818182,77,1.1028728,0.17208295,0.12178373336791992,0.20466661,115500,378,303.3266179561615,115500,-0.007015207,0.37746812987012984,0.012788194
1498.2179487179487,78,0.7962423,0.18872944,0.4778679609298706,0.13479997,117000,351,307.59307050704956,117000,-0.005535058,0.37262879487179484,0.0097046355
1498.253164556962,79,0.85117346,0.15362406,0.6059549748897552,0.15360004,118500,351,311.86465191841125,118500,-0.0010972233,0.3679119746835443,0.00932826
1498.2875,80,0.8217024,0.17198393,0.7081872224807739,0.17440003,120000,361,316.0189673900604,120000,-0.0038071657,0.363313075,0.01051911
1498.320987654321,81,0.88640654,0.08901022,0.7126830816268921,0.23120004,121500,371,320.0606310367584,121500,-0.009611342,0.3588277283950617,0.015256008
1498.3536585365853,82,1.0940943,0.31537545,0.4171707034111023,0.123599984,123000,384,323.9586110115051,123000,-0.0049711373,0.35445178048780485,0.011590917
1498.3855421686746,83,1.1220151,0.26429492,0.6794400811195374,0.103133336,124500,389,327.81401324272156,124500,-0.004176313,0.3501812771084337,0.00789565
1498.4166666666667,84,0.9067727,0.0986668,0.4732334613800049,0.12473337,126000,375,331.8096594810486,126000,-0.0037232416,0.34601245238095235,0.007895524
1498.4470588235295,85,0.867343,0.06359684,0.6729214489459991,0.07313332,127500,392,335.6301715373993,127500,-0.0021414615,0.34194171764705883,0.006165922
1498.4767441860465,86,0.838892,0.089962624,0.819378599524498,0.10520001,129000,383,339.5424337387085,129000,-0.006868318,0.3379656511627907,0.0084248725
1498.5057471264367,87,1.1376331,0.25823793,0.49865293502807617,0.09653332,130500,384,343.4489469528198,130500,-0.0052818353,0.33408098850574713,0.007167452
1498.534090909091,88,1.1484817,0.12712759,0.43483948707580566,0.11053331,132000,391,347.2761993408203,132000,-0.004223609,0.33028461363636363,0.008293875
1498.561797752809,89,1.1781986,0.14588085,0.6009329557418823,0.083799966,133500,390,351.1199040412903,133500,-0.004284704,0.32657355056179777,0.0069092535
1498.588888888889,90,1.1076638,0.25848663,0.48189711570739746,0.11206667,135000,388,354.9859411716461,135000,-0.00591386,0.3229449555555555,0.011816881
1498.6153846153845,91,1.1230161,0.14453225,0.31790369749069214,0.111933306,136500,373,359.0010828971863,136500,-0.008999751,0.31939610989010986,0.01120689
1498.641304347826,92,1.16216,0.16293705,0.8086289763450623,0.12593327,138000,361,363.14988017082214,138000,-0.004046366,0.31592441304347824,0.007850046
