nupdates,fps,eprewmean,time_elapsed,explained_variance,policy_loss,approxkl,policy_entropy,total_timesteps,clipfrac,serial_timesteps,eplenmean,value_loss
1644,285,41.96333333333333,13657.43076133728,0.590644121170044,-0.00017691373,2.0815483e-05,1.3459467,3366912,0.0,841728,1488.09,0.00059230154
1645,268,41.26,13665.06894493103,0.8802225589752197,-3.2046188e-05,0.0016296833,1.3790878,3368960,0.0139973955,842240,1491.1533333333334,1.6139902
1646,282,41.26,13672.331897258759,0.8178468495607376,-0.0001454209,3.5493045e-05,1.3922567,3371008,0.0,842752,1491.1533333333334,0.9471685
1647,282,40.68,13679.588213443756,0.6800750494003296,0.00021738373,0.00033347626,1.4363173,3373056,0.0017903646,843264,1491.1533333333334,1.8443936
1648,236,40.763333333333335,13688.263196468353,0.5781039297580719,-0.00028213672,0.00010043656,1.4391266,3375104,0.0,843776,1491.1533333333334,3.3232384
1649,230,41.25,13697.149923324585,0.5890467464923859,0.00025979523,0.0002804509,1.4330492,3377152,0.00081380206,844288,1491.1533333333334,3.483218
1650,227,41.25,13706.142112731934,0.5275716781616211,-0.00025764713,0.00032479307,1.434316,3379200,0.0,844800,1491.1533333333334,5.0382457
1651,220,41.92,13715.451444149017,0.5482137203216553,-3.4024164e-05,0.00013045159,1.4477211,3381248,0.0,845312,1491.1533333333334,3.0145981
1652,226,42.41,13724.510489463806,0.48165762424468994,0.00010373133,0.00046996362,1.444342,3383296,0.0006510417,845824,1491.1533333333334,4.9323363
1653,197,42.696666666666665,13734.85542678833,0.36499637365341187,-0.00056044443,0.00032570574,1.4404114,3385344,0.0016276041,846336,1491.1533333333334,12.31335
1654,188,43.74666666666667,13745.722736597061,0.7893940955400467,0.0016310323,0.0034646615,1.4474634,3387392,0.039713543,846848,1491.1533333333334,2.922437
1655,200,44.236666666666665,13755.935547590256,0.674171507358551,-3.499041e-05,0.0012263354,1.4217952,3389440,0.017578125,847360,1491.1533333333334,5.6243224
1656,197,44.513333333333335,13766.322727918625,0.6614751517772675,-0.0004790843,0.00015277804,1.3797897,3391488,0.0,847872,1491.1533333333334,2.1707766
1657,193,44.513333333333335,13776.912094831467,0.8209544271230698,0.0043531703,0.005855302,1.4050971,3393536,0.07454427,848384,1491.1533333333334,1.7606287
1658,194,44.513333333333335,13787.458594322205,0.7227132022380829,-0.00033050915,0.0011658914,1.379373,3395584,0.011881511,848896,1491.1533333333334,2.69823
1659,208,44.99333333333333,13797.280260801315,0.8974317386746407,-0.00010662363,5.6301064e-06,1.3362923,3397632,0.0,849408,1491.1533333333334,1.0640852
1660,195,44.99333333333333,13807.759243249893,0.9130971655249596,6.1947234e-05,9.832996e-05,1.3930296,3399680,0.0,849920,1491.1533333333334,1.8758982
1661,196,44.99,13818.168925762177,0.711810290813446,0.007544792,0.01567247,1.3904468,3401728,0.14746094,850432,1491.1533333333334,3.784871
1662,182,45.333333333333336,13829.410447835922,0.43437904119491577,0.0033047863,0.006289153,1.4204725,3403776,0.07373047,850944,1491.1533333333334,4.425339
1663,199,45.72666666666667,13839.689835071564,0.6415033042430878,0.0025136096,0.0047340947,1.3884028,3405824,0.06591797,851456,1491.1533333333334,2.029207
1664,195,45.946666666666665,13850.17768073082,0.5041733086109161,0.0036851056,0.004001083,1.3594394,3407872,0.056477863,851968,1491.1533333333334,7.671249
1665,200,45.946666666666665,13860.416963338852,0.5314000248908997,-0.0015495463,0.0018546985,1.3916783,3409920,0.021484375,852480,1491.1533333333334,3.740039
1666,217,46.42,13869.830854415894,0.6080266535282135,-0.0012575252,0.0012824674,1.4264884,3411968,0.009602864,852992,1491.1533333333334,1.617157
1667,198,46.89333333333333,13880.17384982109,0.2842061519622803,-0.00018655493,0.00084824354,1.4567914,3414016,0.00048828125,853504,1491.1533333333334,4.532888
1668,203,47.38333333333333,13890.256145715714,0.27288395166397095,0.0021942968,0.003160286,1.4588428,3416064,0.03857422,854016,1491.1533333333334,6.1660748
